x_um,depth_um,optical_generation_cm^-3_s^-1
-65.0,42.5,9349002.849002847
-65.0,42.7,37661324.78632479
-65.0,42.9,8558974.35897436
-65.0,43.1,14276602.564102564
-45.0,109.7,35011396.01139601
-45.0,109.9,2712108.2621082617
-35.0,21.9,143518.5185185185
-25.0,59.9,118518.51851851853
-15.0,7.9,5553774.928774929
-15.0,8.1,4736823.361823361
-15.0,8.3,18937678.06267806
-5.0,0.1,128764245014.24501
-5.0,0.3,171848290598.2906
-5.0,0.5,199690170940.17093
-5.0,0.7,219547720797.7208
-5.0,0.9,238561253561.25357
-5.0,1.1,254184472934.47293
-5.0,1.3,264551282051.28204
-5.0,1.5,268379629629.62964
-5.0,1.7,272161680911.6809
-5.0,1.9,270370370370.37036
-5.0,2.1,265153133903.1339
-5.0,2.3,256146723646.72363
-5.0,2.5,245035612535.61252
-5.0,2.7,232008547008.547
-5.0,2.9,217232905982.90598
-5.0,3.1,204034900284.90027
-5.0,3.3,186837606837.60684
-5.0,3.5,173344017094.0171
-5.0,3.7,152991452991.453
-5.0,3.9,136695156695.1567
-5.0,4.1,115267094017.09401
-5.0,4.3,101570512820.51282
-5.0,4.5,81570512820.51282
-5.0,4.7,67524572649.57265
-5.0,4.9,53316239316.23932
-5.0,5.1,39256410256.410255
-5.0,5.3,29965455840.45584
-5.0,5.5,21308048433.04843
-5.0,5.7,14969729344.729345
-5.0,5.9,9855413105.413105
-5.0,6.1,6147222222.222222
-5.0,6.3,3604451566.9515667
-5.0,6.5,2080021367.5213675
-5.0,6.7,1181766381.7663817
-5.0,6.9,470790598.2905983
-5.0,7.1,225292022.7920228
-5.0,7.3,122428418.8034188
-5.0,7.5,76868589.74358974
-5.0,7.7,3563390.3133903136
-5.0,12.5,13025605.413105411
-5.0,12.7,15980413.105413105
-5.0,12.9,6528490.028490028
-5.0,14.3,2981517.094017094
-5.0,14.5,5554131.054131053
-5.0,14.7,18194800.56980057
-5.0,17.5,46545.584045584044
-5.0,32.3,17402777.777777776
-5.0,32.5,1482478.6324786323
5.0,0.1,165373931623.9316
5.0,0.3,173187321937.32193
5.0,0.5,195359686609.6866
5.0,0.7,218144586894.58688
5.0,0.9,238258547008.547
5.0,1.1,251663105413.1054
5.0,1.3,262802706552.70654
5.0,1.5,271620587856.12534
5.0,1.7,266157602920.22794
5.0,1.9,262998431267.80627
5.0,2.1,263076923076.92307
5.0,2.3,254889601139.60114
5.0,2.5,244846866096.8661
5.0,2.7,233055555555.55554
5.0,2.9,219433760683.76068
5.0,3.1,205495014245.01425
5.0,3.3,189900284900.2849
5.0,3.5,171242877492.8775
5.0,3.7,151339031339.03134
5.0,3.9,134326923076.92308
5.0,4.1,116727207977.20798
5.0,4.3,97076210826.21083
5.0,4.5,83500712250.71225
5.0,4.7,67412393162.39316
5.0,4.9,52061609686.60969
5.0,5.1,39823005698.0057
5.0,5.3,29753205128.205128
5.0,5.5,21353632478.632477
5.0,5.7,15483974358.97436
5.0,5.9,10203347578.347578
5.0,6.1,7084472934.472935
5.0,6.3,4123717948.7179484
5.0,6.5,2417556980.05698
5.0,6.7,1177742165.2421653
5.0,6.9,583433048.4330484
5.0,7.1,497467948.71794873
5.0,7.3,137279202.27920228
5.0,7.5,137948717.94871795
5.0,7.7,27950142.45014245
5.0,7.9,20276709.4017094
5.0,8.1,7573005.698005698
5.0,35.3,94978.63247863248
5.0,38.1,6032051.282051282
5.0,45.1,166737.89173789174
15.0,14.3,143625.3561253561
15.0,88.7,24867521.367521368
25.0,3.9,94551.28205128205
25.0,23.5,168839.03133903132
35.0,26.9,32739672.364672363
45.0,44.7,5928418.803418804
45.0,44.9,20251424.501424503
45.0,45.1,26872863.247863248
45.0,45.3,3286217.9487179485
45.0,45.5,5355413.105413105
45.0,45.7,5088675.213675214
45.0,45.9,7032051.282051282
55.0,4.7,4903490.028490028
55.0,4.9,11372863.247863248
55.0,5.1,5052350.427350427
55.0,5.3,9706908.831908831
55.0,5.5,9269943.01994302
