depth_um,-85.000000,-55.000000,-45.000000,-35.000000,-25.000000,-15.000000,-5.000000,5.000000,15.000000,25.000000,35.000000,45.000000,55.000000,75.000000,85.000000,105.000000
0.1,0.0,0.0,0.0,0.0,21784900.284900285,591306980.05698,73605192307.6923,113523130341.88034,532339743.58974355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,683760683.7606838,102979273504.2735,102887236467.23647,767920227.9202279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,1066987179.4871795,109766666666.66667,109995249287.74928,698349715.0997151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,1087788461.5384614,118045121082.62108,118570299145.29915,925356125.3561254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,1201980056.980057,125596599002.849,124115135327.63533,911467236.4672364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,1397536253.5612535,132074074074.07407,133750000000.0,967699430.1994302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,1438143874.6438746,142770833333.33334,138723397435.89743,1414169159.5441597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,1452204059.8290598,147839672364.67236,149487250712.2507,1545270299.1452992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,1472720797.7207978,153736396011.396,153950854700.8547,1412780982.905983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,1371972934.4729345,159939387464.38745,158894444444.44443,1605782051.282051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0,1385826210.8262107,168043589743.58975,167079665242.16525,1720940170.940171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
