# Geant4 depth energy profile
# NEvents: 100000
# BinWidth_um: 0.1
depth_um,dEdx_eV_per_um
1.965000e+01,2.891032e+03
1.975000e+01,2.970229e+03
1.985000e+01,2.913165e+03
1.995000e+01,2.904370e+03
2.005000e+01,2.897219e+03
2.015000e+01,2.802097e+03
2.025000e+01,2.818634e+03
2.035000e+01,2.837974e+03
2.045000e+01,2.901877e+03
2.055000e+01,2.892410e+03
2.065000e+01,2.858453e+03
2.075000e+01,2.802855e+03
2.085000e+01,2.762172e+03
2.095000e+01,2.793830e+03
2.105000e+01,2.784895e+03
2.115000e+01,2.755045e+03
2.125000e+01,2.769496e+03
2.135000e+01,2.745515e+03
2.145000e+01,2.751643e+03
2.155000e+01,2.755460e+03
2.165000e+01,2.691141e+03
2.175000e+01,2.671928e+03
2.185000e+01,2.746461e+03
2.195000e+01,2.639587e+03
2.205000e+01,2.667554e+03
2.215000e+01,2.726319e+03
2.225000e+01,2.685398e+03
2.235000e+01,2.642525e+03
2.245000e+01,2.657147e+03
2.255000e+01,2.707216e+03
2.265000e+01,2.697501e+03
2.275000e+01,2.585252e+03
2.285000e+01,2.640093e+03
2.295000e+01,2.633016e+03
2.305000e+01,2.661371e+03
2.315000e+01,2.628975e+03
2.325000e+01,2.622418e+03
2.335000e+01,2.546988e+03
2.345000e+01,2.682510e+03
2.355000e+01,2.573391e+03
2.365000e+01,2.569929e+03
2.375000e+01,2.571666e+03
2.385000e+01,2.580861e+03
2.395000e+01,2.564752e+03
2.405000e+01,2.539489e+03
2.415000e+01,2.517824e+03
2.425000e+01,2.454026e+03
2.435000e+01,2.427194e+03
2.445000e+01,2.482146e+03
2.455000e+01,2.465927e+03
2.465000e+01,2.498580e+03
2.475000e+01,2.442003e+03
2.485000e+01,2.418690e+03
2.495000e+01,2.445976e+03
2.505000e+01,2.465609e+03
2.515000e+01,2.343143e+03
2.525000e+01,2.345006e+03
2.535000e+01,2.326614e+03
2.545000e+01,2.325471e+03
2.555000e+01,2.376319e+03
2.565000e+01,2.359452e+03
2.575000e+01,2.274471e+03
2.585000e+01,2.319296e+03
2.595000e+01,2.274138e+03
2.605000e+01,2.223980e+03
2.615000e+01,2.252459e+03
2.625000e+01,2.217674e+03
2.635000e+01,2.221564e+03
2.645000e+01,2.196609e+03
2.655000e+01,2.130347e+03
2.665000e+01,2.099409e+03
2.675000e+01,2.147890e+03
2.685000e+01,2.121177e+03
2.695000e+01,2.112883e+03
2.705000e+01,2.147020e+03
2.715000e+01,2.117881e+03
2.725000e+01,2.115928e+03
2.735000e+01,2.148124e+03
2.745000e+01,2.082999e+03
2.755000e+01,2.108968e+03
2.765000e+01,2.079651e+03
2.775000e+01,2.059199e+03
2.785000e+01,2.047333e+03
2.795000e+01,2.054915e+03
2.805000e+01,1.991730e+03
2.815000e+01,2.000273e+03
2.825000e+01,2.010173e+03
2.835000e+01,1.971853e+03
2.845000e+01,1.971869e+03
2.855000e+01,1.967827e+03
2.865000e+01,1.952152e+03
2.875000e+01,1.966914e+03
2.885000e+01,1.909578e+03
2.895000e+01,1.917050e+03
2.905000e+01,1.910431e+03
2.915000e+01,1.897757e+03
2.925000e+01,1.873303e+03
2.935000e+01,1.853279e+03
2.945000e+01,1.797913e+03
2.955000e+01,1.856335e+03
2.965000e+01,1.785812e+03
2.975000e+01,1.800298e+03
2.985000e+01,1.835691e+03
2.995000e+01,1.787191e+03
3.005000e+01,1.773013e+03
3.015000e+01,1.743420e+03
3.025000e+01,1.701549e+03
3.035000e+01,1.707295e+03
3.045000e+01,1.689375e+03
