# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
0.0150,0.0050,54.300,2.9380e+02
-0.0550,0.0250,20.100,4.0330e+01
0.0450,0.0150,0.300,9.2001e+02
0.0450,0.0150,0.500,1.2149e+03
0.0450,0.0150,0.700,2.4597e+03
-0.1050,0.0450,22.900,2.1720e+03
-0.0050,0.0450,37.100,5.8452e+03
-0.0050,0.0450,36.900,1.2498e+03
-0.0050,0.0450,36.700,2.4455e+03
-0.0050,0.0450,36.500,1.3845e+03
-0.0050,0.0450,36.300,3.5158e+03
-0.0050,0.0450,36.100,1.3780e+03
-0.0050,0.0450,35.900,1.5593e+03
-0.0250,-0.0150,47.700,5.0952e+03
-0.0250,-0.0150,47.500,1.2142e+04
-0.0250,-0.0150,47.300,8.8874e+03
-0.0250,-0.0150,46.100,9.5867e+03
-0.0250,-0.0150,45.900,4.5783e+03
-0.0350,-0.0050,41.500,6.5621e+03
-0.0350,-0.0050,41.700,4.7747e+03
-0.0050,-0.0350,44.700,9.5885e+03
-0.0450,0.0150,35.100,1.6162e+03
-0.0450,0.0150,34.900,5.1551e+03
-0.0450,0.0150,34.700,5.3228e+03
-0.0450,0.0150,34.500,5.3034e+02
-0.0450,0.0150,34.300,5.6428e+03
-0.0450,0.0150,34.100,7.6813e+02
-0.0450,0.0150,33.900,2.1091e+03
-0.0450,0.0150,33.700,5.0089e+03
-0.0450,0.0150,33.500,2.6238e+03
-0.0450,0.0150,33.300,1.5714e+03
-0.0450,0.0150,33.100,1.1341e+02
-0.0450,0.0150,32.900,2.2215e+02
-0.0450,0.0150,32.700,3.2282e+02
-0.0450,0.0150,32.500,4.7382e+02
-0.0450,0.0150,32.300,4.1341e+02
-0.0450,0.0150,0.300,6.0028e+02
-0.0450,0.0150,0.500,2.5748e+03
-0.0450,0.0150,0.700,1.0275e+03
-0.0450,0.0150,0.900,8.1426e+02
-0.0450,0.0150,1.100,4.1724e+02
-0.0450,0.0150,1.300,4.6099e+02
-0.0450,0.0150,1.500,4.3667e+02
-0.0150,0.0450,30.100,5.6925e+02
-0.0150,0.0450,30.300,1.2203e+02
-0.0150,0.0450,30.500,6.2365e+02
-0.0150,0.0450,30.700,2.9733e+02
-0.0150,0.0450,30.900,1.8958e+02
0.0450,0.0150,0.100,4.1760e+02
0.0250,0.0350,35.700,8.7699e+03
0.0250,0.0350,34.700,1.1244e+03
-0.0050,-0.0350,44.500,3.3806e+03
-0.0050,-0.0350,44.300,1.1638e+04
-0.0050,-0.0350,44.100,3.6044e+03
-0.0050,-0.0350,43.900,4.8809e+03
-0.0050,-0.0350,43.700,2.6214e+03
-0.0050,-0.0350,43.500,2.1809e+03
-0.0050,-0.0350,43.300,5.4537e+03
-0.0050,-0.0350,43.100,1.3537e+04
-0.0050,-0.0350,42.900,6.6223e+03
0.0450,-0.0250,16.900,5.6625e+03
0.0450,-0.0250,16.700,2.7436e+03
0.0450,-0.0250,16.100,1.2439e+03
0.0450,-0.0250,15.900,1.1056e+03
0.0450,-0.0250,13.500,1.5324e+03
0.0450,-0.0250,13.300,5.1282e+03
0.0450,-0.0250,13.100,2.3982e+03
0.0450,-0.0250,12.300,5.0642e+02
0.0450,-0.0250,12.100,1.0613e+02
-0.0150,0.0250,47.700,4.1382e+02
-0.0450,-0.0050,26.500,1.2951e+03
-0.0450,-0.0050,26.300,2.3917e+03
-0.0450,-0.0050,26.100,1.5240e+04
-0.0450,-0.0050,25.900,1.4698e+03
0.0250,-0.0050,52.900,2.9220e+03
0.0250,-0.0050,52.700,1.4728e+04
0.0250,-0.0050,52.500,7.0707e+02
0.0250,-0.0050,52.300,4.8913e+02
0.0250,-0.0050,52.100,2.5530e+02
0.0250,-0.0050,51.900,8.6777e+02
0.0250,-0.0050,51.700,8.9386e+02
0.0250,-0.0050,51.500,2.2891e+03
0.0250,-0.0050,51.100,2.0792e+02
0.0250,-0.0050,50.900,2.0238e+02
0.0150,-0.0450,14.900,1.1818e+03
0.0350,-0.0350,25.300,1.4634e+03
-0.1150,-0.0350,96.300,3.7792e+03
-0.1150,-0.0350,96.100,9.6503e+03
-0.0550,-0.0150,48.100,4.6880e+01
-0.0350,-0.0150,41.300,3.1664e+03
-0.0350,-0.0150,41.100,3.0820e+03
-0.0350,-0.0150,40.900,4.0949e+03
-0.0250,0.0250,44.900,1.4841e+03
-0.0250,0.0250,44.700,3.5341e+03
-0.0250,0.0250,44.500,2.8056e+03
0.0250,-0.0450,10.300,4.5198e+03
0.0250,-0.0450,10.500,1.9783e+04
0.0250,-0.0450,10.700,9.8907e+03
0.0350,0.0250,42.100,5.0276e+02
0.0350,0.0250,41.900,1.5616e+03
0.0350,0.0250,41.700,5.4869e+02
0.0050,-0.0150,57.900,8.0820e+03
0.0250,0.0150,49.700,4.8530e+03
0.0250,0.0150,49.500,2.7316e+03
0.0250,0.0150,49.300,2.7446e+03
0.0250,0.0150,49.100,1.1313e+03
0.0250,0.0150,48.900,6.5451e+03
0.0250,0.0150,48.700,3.9820e+03
0.0250,0.0150,48.500,1.5871e+03
0.0250,0.0150,48.300,1.6044e+02
0.0150,-0.0550,5.500,8.5683e+02
0.0150,-0.0550,5.300,8.2070e+03
0.0050,-0.0550,5.100,2.1984e+01
0.0150,-0.0550,5.100,8.2664e+02
0.0050,-0.0150,55.900,3.6425e+02
0.0350,-0.0450,8.100,3.4222e+02
0.0050,-0.0150,56.100,1.8239e+03
