x_um,depth_um,optical_generation_cm^-3_s^-1
-5.0,0.1,401901420940.17096
-5.0,0.3,568625356125.3561
-5.0,0.5,674957264957.2649
-5.0,0.7,728896375356.1252
-5.0,0.9,727115384615.3846
-5.0,1.1,698383190883.1909
-5.0,1.3,648575498575.4985
-5.0,1.5,563839031339.0314
-5.0,1.7,468483169515.6695
-5.0,1.9,372920227920.2279
-5.0,2.1,270712250712.2507
-5.0,2.3,177699430199.4302
-5.0,2.5,106396723646.72365
-5.0,2.7,56143162393.16239
-5.0,2.9,24750000000.0
-5.0,3.1,8511396011.396011
-5.0,3.3,2739173789.173789
-5.0,3.5,595918803.4188035
-5.0,3.7,102002849.00284901
-5.0,3.9,29110398.86039886
5.0,0.1,479928774928.7749
5.0,0.3,574572649572.6495
5.0,0.5,678675213675.2136
5.0,0.7,723960113960.1139
5.0,0.9,729123931623.9316
5.0,1.1,703425925925.9259
5.0,1.3,650206552706.5527
5.0,1.5,557784900284.9003
5.0,1.7,469123931623.93164
5.0,1.9,361566951566.95154
5.0,2.1,265605413105.41312
5.0,2.3,175811965811.96582
5.0,2.5,109351139601.1396
5.0,2.7,55303418803.4188
5.0,2.9,24243589743.589745
5.0,3.1,8748931623.931623
5.0,3.3,2526068376.068376
5.0,3.5,759565527.0655271
5.0,3.7,156792735.04273504
5.0,3.9,56849430.1994302
5.0,4.1,14762108.26210826
5.0,7.3,185968.66096866096
5.0,21.3,236396.01139601137
15.0,8.7,236823.36182336183
15.0,10.5,17074786.324786324
15.0,10.7,37138176.638176635
15.0,26.5,287250.7122507122
15.0,41.7,33858262.10826211
15.0,41.9,33333333.333333332
25.0,52.9,53891025.64102564
35.0,10.1,287250.7122507122
35.0,15.3,36844017.09401709
35.0,15.5,32710113.96011396
75.0,18.5,50210826.21082621
