depth_um,-115.000000,-105.000000,-95.000000,-85.000000,-75.000000,-65.000000,-55.000000,-45.000000,-35.000000,-25.000000,-15.000000,-5.000000,5.000000,15.000000,25.000000,35.000000,45.000000,55.000000,65.000000,75.000000,85.000000,95.000000,105.000000,115.000000
0.1,0.0,0.0,22198824.786324784,23350721.153846156,106505128.2051282,219165945.5128205,535101469.01709396,816268696.5811965,1152795966.8803418,1392779113.2478633,1548215037.3931625,11452436111.11111,37685933760.68376,1591593776.7094016,1462151709.4017093,1128513007.4786325,829391079.0598291,526462366.4529915,309054754.27350426,118069444.44444443,25678819.444444444,7934561.965811965,0.0,0.0
0.3,0.0,0.0,10118295.94017094,33433840.811965805,88481944.44444445,247415758.54700857,622736778.8461539,958060042.7350427,1466453846.153846,1342407451.923077,1629202083.3333333,20522665625.0,29970188728.632477,1766877604.1666665,1615825854.7008545,1682342414.5299146,909418402.7777778,629828926.2820512,228013381.4102564,141536591.8803419,54492708.33333333,23398771.367521368,0.0,0.0
0.5,0.0,0.0,7878151.70940171,105340678.41880344,168301068.37606838,386117334.4017094,545120966.8803418,1137964877.1367521,1579587980.7692306,1325973290.5982907,1682478485.5769231,24198846981.83761,26996559241.452995,1851265064.1025639,1834223023.5042734,1497246848.2905982,1112944043.8034189,811234188.034188,356708092.94871795,180768456.19658118,15390865.384615384,12178151.70940171,0.0,0.0
0.7,0.0,0.0,7443563.034188035,21214529.914529916,112465571.58119658,305993589.74358976,723752644.2307692,929434374.9999999,1502594818.3760684,1439944711.5384617,1757681223.2905982,23748025534.188026,26834642628.205128,1644991987.1794872,1853652777.7777777,1540390357.905983,1115267681.6239316,620270833.3333334,298922115.38461536,126270619.65811963,38487393.16239316,2433787.393162393,0.0,0.0
0.9,0.0,0.0,7714155.982905984,5256036.324786325,122691800.21367523,378898824.7863248,693118776.7094017,1119706410.2564104,1516835096.1538463,1850455395.2991452,2103899278.8461537,25235081730.769234,24910791399.57265,1933813808.760684,2192921741.4529915,1493586084.4017093,1007420592.948718,711403205.1282051,343428685.8974359,105357772.43589742,50287580.128205135,1053418.8034188033,0.0,0.0
1.1,0.0,0.0,52969471.153846145,13340288.46153846,172406169.87179488,438712366.45299137,755928231.8376069,1164358440.1709402,1537306677.3504274,1692374465.8119657,2032973344.017094,24819513595.085472,25684059829.05983,1918948450.854701,1986489316.2393162,1504402350.4273503,1012558573.7179487,853588701.9230769,312989396.36752135,124953525.64102563,94915323.1837607,19601068.376068376,0.0,0.0
1.3,0.0,0.0,9679994.658119658,15870061.431623932,129055894.76495726,395440889.423077,845951041.6666666,1021762820.5128205,1585365384.6153848,1847490918.8034186,2133809241.4529912,27091865064.102562,25200948851.495728,2099400908.119658,1894113782.0512822,1573255475.4273503,990810630.3418803,1029193990.3846154,397250053.41880345,162470993.58974355,105723344.01709402,9352270.299145298,0.0,0.0
1.5,0.0,0.0,17213488.247863248,7830288.461538461,200859695.5128205,620919791.6666666,826033520.2991453,1169455929.4871795,1672096741.4529915,1761022702.991453,2365503792.7350426,26209174839.74359,25643264957.264957,2236166132.4786325,1879786057.6923077,1581973904.91453,931373397.4358975,909144631.4102564,409323985.0427351,265470352.5641026,60008840.81196581,12820379.273504272,0.0,0.0
1.7,0.0,0.0,4898771.367521367,10717548.076923076,105069212.0726496,488414102.56410253,749550373.931624,1456814636.7521367,1404266559.8290598,1891870192.307692,2628504423.076923,25412869551.28205,25485473771.36752,2376862179.4871793,1708623664.5299144,1750097409.188034,1074572115.3846154,639495886.7521368,406712072.6495727,250565438.03418803,168685790.5982906,20460950.854700856,0.0,0.0
1.9,0.0,0.0,12261832.264957264,5527056.623931624,125670860.04273504,410130643.6965812,1046532719.0170939,1277773237.1794872,1672822809.82906,1919955128.205128,2234796685.363248,26762941426.28205,25864748477.564102,2206556356.837607,2080827991.4529915,1806188274.5726492,1327507478.6324785,717152323.7179486,470953124.99999994,164164797.008547,47081971.15384616,4186805.5555555555,0.0,0.0
2.1,0.0,0.0,12689529.914529914,39315598.29059829,91030368.58974358,446544115.9188034,748438969.0170941,1412415865.3846154,1691750560.897436,2013850961.5384617,2353359081.1965814,26414864236.11111,25814643563.03419,2668868055.555556,2090663568.376068,1910414556.6239314,1175098290.5982904,765860443.3760682,427782612.17948717,157787313.03418806,64760523.504273504,4763488.247863248,0.0,0.0
2.3,0.0,0.0,8775240.384615386,36005635.68376068,139011939.1025641,345252732.3717948,977540277.7777778,1299343482.9059827,1593060950.8547008,2231192040.598291,2825080368.589743,27157380742.521366,26899742147.435898,2672177350.4273505,2075060897.4358976,1665577110.042735,1297386752.1367521,836272836.5384614,395588942.3076924,249008814.1025641,68031143.16239317,6873584.401709401,0.0,0.0
2.5,0.0,0.0,22189850.427350424,39216800.2136752,93333653.84615383,451459882.4786325,829349652.7777778,1108102136.7521367,1763374465.811966,1955450320.5128205,2767217227.5641026,27150150961.53846,27168587660.256405,2737660523.5042734,2241153365.3846154,1773248931.6239314,1338681891.025641,981813418.8034189,404423076.9230769,201459294.87179488,67760042.73504272,7145112.17948718,0.0,0.0
2.7,0.0,0.0,28446233.974358976,33940037.39316239,108366586.53846154,448267521.36752135,986786030.982906,1189764102.5641024,1883396100.4273503,2152293536.324786,2668516960.4700856,26538476709.401714,26990990678.418804,3049412126.0683765,2559157585.470085,1949400106.837607,1586317574.786325,990492163.4615384,564447649.5726495,123394444.44444443,68442013.8888889,6505876.068376069,0.0,0.0
2.9,0.0,0.0,53356971.15384615,44633306.623931624,153008787.3931624,399273693.9102564,896676549.145299,1271603018.1623933,2095153044.871795,2341926282.051282,2786942307.6923075,27817574278.846153,27703787740.384613,2648786324.786325,2318313835.470085,1768784054.4871795,1352109241.4529915,898225934.82906,557479487.1794872,177828792.73504275,71533119.65811966,8938995.726495726,0.0,0.0
