depth_um,-65.000000,-45.000000,-35.000000,-25.000000,-15.000000,-5.000000,5.000000,15.000000,25.000000,35.000000,45.000000,55.000000
0.1,0.0,0.0,0.0,0.0,0.0,128764245014.24501,165373931623.9316,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,171848290598.2906,173187321937.32193,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,199690170940.17093,195359686609.6866,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,219547720797.7208,218144586894.58688,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,238561253561.25357,238258547008.547,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,254184472934.47293,251663105413.1054,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,264551282051.28204,262802706552.70654,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,268379629629.62964,271620587856.12534,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,272161680911.6809,266157602920.22794,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,270370370370.37036,262998431267.80627,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0,265153133903.1339,263076923076.92307,0.0,0.0,0.0,0.0,0.0
2.3,0.0,0.0,0.0,0.0,0.0,256146723646.72363,254889601139.60114,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,245035612535.61252,244846866096.8661,0.0,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0,232008547008.547,233055555555.55554,0.0,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0,0.0,217232905982.90598,219433760683.76068,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0,204034900284.90027,205495014245.01425,0.0,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0,0.0,186837606837.60684,189900284900.2849,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,173344017094.0171,171242877492.8775,0.0,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0,0.0,152991452991.453,151339031339.03134,0.0,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0,0.0,136695156695.1567,134326923076.92308,0.0,94551.28205128205,0.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0,0.0,115267094017.09401,116727207977.20798,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,101570512820.51282,97076210826.21083,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,81570512820.51282,83500712250.71225,0.0,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0,0.0,67524572649.57265,67412393162.39316,0.0,0.0,0.0,0.0,4903490.028490028
