depth_um,-115.000000,-105.000000,-95.000000,-75.000000,-65.000000,-55.000000,-45.000000,-35.000000,-25.000000,-15.000000,-5.000000,5.000000,15.000000,25.000000,35.000000,45.000000,55.000000,65.000000,75.000000,95.000000,105.000000
0.1,0.0,0.0,0.0,0.0,0.0,0.0,27766559.829059828,367174145.2991453,1789448183.7606838,3799957264.957265,20625875801.28205,49219744391.02564,3836539262.820513,1792117254.2735045,484236111.1111111,27614690.170940172,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,37179166.666666664,373382772.43589747,2359467681.6239314,4098493589.74359,32822832799.145298,38019937767.09402,4300865918.803418,2403727297.008547,517526442.3076923,30574225.42735042,0.0,21813835.470085472,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,43720619.658119656,428789075.85470086,2049170673.0769231,4878498210.470085,36360697382.47863,37237441773.50427,4488052350.42735,2222606837.6068377,745622329.059829,39044284.18803419,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,65658386.75213675,496781650.6410256,2417469818.376068,4605068242.521368,35568776709.40171,36982117521.36752,4880927350.42735,2646033653.8461537,716458600.4273504,68073344.01709402,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,65360496.7948718,557943242.5213675,2772254273.5042734,5066302644.230769,38500237446.5812,38424350694.44444,5468658920.94017,3039014690.1709404,736740117.5213675,41254994.658119656,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,79711912.39316238,607535790.5982906,2881118055.555556,5680779113.247864,40253171207.26496,37666413728.63248,5354555261.752136,2682974091.880342,862329941.2393161,88899011.75213675,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,33742975.42735043,665606303.4188035,2944377670.940171,5423089476.495727,37689780448.71795,40958223824.78632,5539747329.059829,2674267361.111111,818486137.8205127,78672008.54700853,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,83718402.77777778,695625747.8632479,3185085470.08547,5627100694.444445,39543738514.95726,39890176282.051285,5893030715.811966,2944520032.051282,886576495.7264959,104996287.3931624,0.0,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,11450587.606837608,110123130.34188035,765901175.2136753,3356034989.3162394,6527214209.40171,40269222756.410255,40567218750.0,5843001575.854701,3290488247.863248,857690277.7777778,82336538.46153846,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,2906784.188034188,102753311.96581195,796775641.025641,3249244658.119658,6555763888.888888,41804835737.17949,39692020032.051285,6874690384.615385,3381949519.230769,876390197.6495727,57938461.53846154,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0,1686038.9957264957,155702991.45299146,914932425.2136753,3528488247.863248,6669511217.948718,42541621260.68376,40368819711.53846,7097224519.230769,3361986912.3931623,858341613.2478632,82016292.73504274,0.0,0.0,0.0,0.0,0.0
2.3,0.0,0.0,0.0,0.0,0.0,1799385.683760684,99241987.17948717,998852831.1965811,3557666132.4786325,6357762553.418803,42090860042.73504,42086354433.76068,6744538541.666667,3640976228.6324787,1007570993.5897436,122423611.11111112,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,3867788.461538461,143820512.8205128,886597622.8632479,4254438034.1880345,6682627136.752137,42441915064.10256,41904455395.29914,7455580528.846154,4142773504.273504,978870219.017094,82645833.33333334,0.0,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0,6782318.376068376,114196821.58119658,842787660.2564102,3728047809.82906,6903277243.589744,42947123397.4359,43460141292.73505,7897843028.846154,3587666132.4786325,942142361.111111,55480956.19658119,0.0,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0,0.0,915197.6495726495,184472702.991453,902578819.4444444,4107871260.6837606,7181038461.538461,44143910256.410255,44623498130.34188,8060714636.752137,3780233173.0769234,1038815170.940171,117040457.07799146,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0,1926469.017094017,106377083.33333334,766858173.0769231,3907369123.931624,7935643856.837606,44100777243.589745,44648437500.0,7487208814.102564,3630904700.8547006,1142310897.4358974,34659428.41880342,0.0,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0,0.0,1757585.47008547,88618322.64957266,911070165.5982906,3975336538.4615383,8060711805.555555,45365605769.230774,45101063301.28205,7843726923.076922,4145707478.632478,1100354967.948718,65793910.25641025,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0,2024412.3931623932,57014690.170940176,1066104727.5641025,4114912660.25641,8473440170.940171,46253505074.78632,47161952457.26495,8215520833.333333,4125917280.982906,1014662980.7692307,48986485.04273505,0.0,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0,0.0,9145753.205128206,65745459.4017094,1185213194.4444444,4030181356.8376064,9115901175.213675,47735228018.16239,47411587606.8376,8361716613.247864,4033389610.0427346,1193924145.2991452,52525480.76923077,0.0,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0,0.0,5795566.239316238,59254540.59829059,1088558226.4957266,4238939850.4273505,9057249732.905983,47255228098.290596,47836770833.333336,8260076388.888889,4064716239.31624,1342755341.8803418,89109748.93162394,0.0,0.0,0.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0,0.0,4906517.094017094,168591613.24786323,1262885202.991453,4286189903.8461537,9038022970.08547,47574491826.92308,48071612980.769226,8387781249.999999,4573620459.40171,1429901976.4957266,94247222.22222222,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,1481891.0256410257,84219551.2820513,1174926335.4700854,4434556891.025641,9122500000.0,48021377190.17093,48786183226.49573,9259512553.418804,4428598183.760683,1297954273.5042734,105273237.17948718,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,1395112.1794871795,131185897.43589744,1115805742.5213675,4221387526.7094016,9058505608.97436,49145703178.4188,48736242521.367516,9754285363.247864,4535491773.504273,1410168242.5213675,116475427.35042733,0.0,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0,0.0,2592013.888888889,116611645.2991453,1073108317.3076923,4147590277.7777777,9652997061.965813,50328685737.17948,48948205128.205124,10193216613.247862,4693706757.478633,1524982505.34188,34154674.145299144,0.0,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0,0.0,941479.7008547009,129360844.017094,1417982318.3760686,4530836057.692307,9452173076.923077,49298056891.02564,51395854700.8547,10056859241.452991,5408698450.854701,1500838141.0256412,78564129.27350427,0.0,0.0,0.0,0.0,0.0
5.1,0.0,0.0,0.0,0.0,0.0,1968990.3846153847,90804754.27350429,1415118936.965812,4925954861.111111,9540666452.991453,51577729700.8547,49789321271.36752,10693770405.982906,5089821314.102564,1476091346.153846,71470860.04273503,0.0,0.0,0.0,0.0,0.0
5.3,0.0,0.0,0.0,0.0,0.0,3053952.9914529915,113467681.62393162,1277831864.3162394,4962918482.905983,10495227831.19658,50210956196.5812,50707935363.24786,10742972756.410255,5403155982.905982,1389619658.119658,35103792.735042736,0.0,0.0,0.0,0.0,0.0
