source,source_label,thickness_um,bias_v,nt,trap_density_cm3,node,q_col_c,q_pos_c,q_neg_c,q_gen_c,cce_percent,cce_pos_percent,cce_neg_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,qc_pass,qc_reason,deposited_energy_ev,generated_pairs,collapsed_thickness_um,raw_points,unique_points,dropped_initial_points
c14,C-14 spectrum,5.0,0.13,0,0.0,217,3.5166839303347034e-16,3.5194181774980496e-16,2.7342471633465355e-19,9.483852833405917e-16,37.0807518010775,37.10958235350567,0.028830552428180087,1.7570713121524002,0.0001110086316,6.317821640603488e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,5.0,0.13,1e12,1000000000000.0,218,3.5168789281587927e-16,3.5193716236887265e-16,2.4926955299339647e-19,9.483852833405917e-16,37.082807904514716,37.109091479067395,0.02628357455267226,1.7568779536034,0.00010261579029999997,5.840803573721923e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,5.0,0.13,1e13,10000000000000.0,219,3.516433972790157e-16,3.5189519270420704e-16,2.517954251912705e-19,9.483852833405917e-16,37.078116189275654,37.10466609780063,0.026549908524976944,1.7550475626778,0.00010303426160000001,5.870738992554331e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,5.0,0.13,2.5e13,25000000000000.0,220,3.5157884092153473e-16,3.518264448740986e-16,2.476039525638084e-19,9.483852833405917e-16,37.07130921339623,37.097417163078,0.02610794968176313,1.7516640293372,0.00010258840159999999,5.856625464805469e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,5.0,0.13,5e13,50000000000000.0,221,3.514667950819888e-16,3.5170866129523456e-16,2.4186621324574043e-19,9.483852833405917e-16,37.05949483357464,37.08499778237555,0.025502948800912542,1.7450905631054001,9.9767232e-05,5.7170231797290546e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,8.0,0.33,0,0.0,227,4.818940123043824e-16,4.821065589291178e-16,2.1254662473534447e-19,9.483852833405917e-16,50.81205083728833,50.83446225894037,0.02241142165203897,2.096451127381,9.432140609e-05,4.499098732047782e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,8.0,0.33,1e12,1000000000000.0,228,4.818752912337221e-16,4.820923721815479e-16,2.1708094782576294e-19,9.483852833405917e-16,50.81007684307003,50.83296637453357,0.022889531463533168,2.0956742499074004,9.417082539999999e-05,4.493581261694704e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,8.0,0.33,1e13,10000000000000.0,229,4.817471664648932e-16,4.819606056563857e-16,2.134391914924159e-19,9.483852833405917e-16,50.79656706270128,50.819072598715145,0.02250553601386536,2.0881578420927998,9.296572643e-05,4.452044982233125e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,8.0,0.33,2.5e13,25000000000000.0,230,4.815340604417183e-16,4.817432034385997e-16,2.0914299688126103e-19,9.483852833405917e-16,50.77409665674725,50.79614919178287,0.02205253503561083,2.0741656813523996,9.210379575e-05,4.440522595569433e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,8.0,0.33,5e13,50000000000000.0,231,4.811707974792373e-16,4.813711136382788e-16,2.0031615904145744e-19,9.483852833405917e-16,50.735793345966066,50.756915158225304,0.021121812259239613,2.0492812141086003,8.988960588999999e-05,4.386396814216653e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
