source,source_label,thickness_um,bias_v,nt,trap_density_cm3,node,q_col_c,q_pos_c,q_neg_c,q_gen_c,cce_percent,cce_pos_percent,cce_neg_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,qc_pass,qc_reason,deposited_energy_ev,generated_pairs,collapsed_thickness_um,raw_points,unique_points,dropped_initial_points
c14,C-14 spectrum,30.0,5.0,0,0.0,56,8.631815013393576e-16,8.63181870156082e-16,3.6881672422510013e-22,9.483852833405917e-16,91.01591056947737,91.01594945839003,3.888891262905096e-05,2.9804716141462,3.5386450799999993e-05,1.1872768937655849e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,40.0,8.0,0,0.0,77,9.024387449502666e-16,9.02439071463213e-16,3.26512946466642e-22,9.483852833405917e-16,95.15528770875872,95.1553221370604,3.442830168310215e-05,2.8820644512054,3.15419276e-05,1.0944213127089454e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,60.0,19.0,0,0.0,59,9.243215627951315e-16,9.24321878190023e-16,3.153948915505861e-22,9.483852833405917e-16,97.46266407037675,97.46269732636426,3.325598752857481e-05,2.8957292063898,3.04822332e-05,1.0526617313779556e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,0,0.0,63,9.273887407072906e-16,9.273915673475664e-16,2.8266402757456596e-21,9.483852833405917e-16,97.78607460468567,97.78637265235949,0.00029804767380922485,2.77308179155716,2.738373164e-05,9.8748373464395e-06,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,150.0,117.0,0,0.0,237,9.27490425888027e-16,9.275401378678451e-16,4.971197981815791e-20,9.483852833405917e-16,97.79679653199966,97.80203828139112,0.005241749391455387,2.60861322424616,9.401177683999999e-05,3.603898652594143e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,30.0,5.0,1e12,1000000000000.0,175,8.629535972730804e-16,8.629539685081056e-16,3.7123502509781805e-22,9.483852833405917e-16,90.99187982266164,90.99191896656569,3.91439040249739e-05,2.9511847942108,3.5738252199999995e-05,1.2109798163133003e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,40.0,8.0,1e12,1000000000000.0,176,9.01118280742182e-16,9.01118615629277e-16,3.348870948841138e-22,9.483852833405917e-16,95.01605482194785,95.01609013323969,3.531129181006561e-05,2.8303573208395996,3.2274004399999994e-05,1.1402802099356913e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,60.0,19.0,1e12,1000000000000.0,178,9.23275161874838e-16,9.23275489161181e-16,3.27286343093292e-22,9.483852833405917e-16,97.35232906848725,97.3523635783377,3.450985046293198e-05,2.8563818403214003,3.15889686e-05,1.105908466231028e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,1e12,1000000000000.0,182,9.267971567931446e-16,9.267976482888538e-16,4.914957095539722e-22,9.483852833405917e-16,97.72369658970192,97.7237484141785,5.1824476632822475e-05,2.78951696178004,2.8748007159999996e-05,1.0305729469970811e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,150.0,117.0,1e12,1000000000000.0,238,9.267902781095435e-16,9.268294555291608e-16,3.9177419617443665e-20,9.483852833405917e-16,97.72297128494213,97.72710224524965,0.004130960307549812,2.65942590409342,3.481350189e-05,1.309060795279712e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,30.0,5.0,1e13,10000000000000.0,188,8.561366517535903e-16,8.561370328172604e-16,3.8106367005542356e-22,9.483852833405917e-16,90.27308487305235,90.27312505331207,4.0180259726634004e-05,2.5711161585832,3.74967758e-05,1.4583851326523651e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,40.0,8.0,1e13,10000000000000.0,189,8.776039924953185e-16,8.776043521105818e-16,3.596152632294332e-22,9.483852833405917e-16,92.53665234070763,92.53669025939635,3.791868869608822e-05,2.3229442284354,3.496387459999999e-05,1.5051534243484452e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,60.0,19.0,1e13,10000000000000.0,191,9.018485587048786e-16,9.01848938413019e-16,3.7970814015811415e-22,9.483852833405917e-16,95.09305706729315,95.0930971046226,4.0037329430147884e-05,2.37335908872438,3.8773318520000004e-05,1.6336895122279905e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,1e13,10000000000000.0,195,7.283240759949763e-16,7.283244279038386e-16,3.519088622277537e-22,9.483852833405917e-16,76.7962228841772,76.79625999028465,3.710610744487622e-05,2.4120674310524004,3.4350638599999996e-05,1.4241160159031126e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,150.0,117.0,1e13,10000000000000.0,239,6.668061865568261e-16,6.668065177460615e-16,3.3118923530298357e-22,9.483852833405917e-16,70.30963030215615,70.30966522353685,3.492138070051054e-05,2.38138533180834,3.4721409359999994e-05,1.4580340651394616e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,30.0,5.0,2.5e13,25000000000000.0,254,8.221521462059017e-16,8.221525156891946e-16,3.6948329304876725e-22,9.483852833405917e-16,86.6896777763098,86.68971673550702,3.895919723124546e-05,2.07628413960518,3.975070971999999e-05,1.9145120343479997e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,40.0,8.0,2.5e13,25000000000000.0,255,8.263987773589901e-16,8.263991278198201e-16,3.5046082982607602e-22,9.483852833405917e-16,87.13745266565964,87.13748961908313,3.695342346431326e-05,1.8657014062636001,3.43701734e-05,1.8422119040384067e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,60.0,19.0,2.5e13,25000000000000.0,257,6.786920037387525e-16,6.786923949829934e-16,3.912442408636081e-22,9.483852833405917e-16,71.56289913611147,71.56294038983478,4.125372332703115e-05,1.8939861615613798,4.685297952e-05,2.4737762329464414e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,2.5e13,25000000000000.0,261,5.629997477057987e-16,5.630001238461964e-16,3.761403976799925e-22,9.483852833405917e-16,59.3640324871648,59.364072148302974,3.9661138177416224e-05,1.9497113545082,3.63586078e-05,1.864820026612154e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,150.0,117.0,2.5e13,25000000000000.0,240,5.085322595182492e-16,5.08532605302313e-16,3.457840638943916e-22,9.483852833405917e-16,53.620850982313385,53.62088744260751,3.6460294140837155e-05,1.9694394095274002,3.34600396e-05,1.6989626305908692e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,30.0,5.0,5e13,50000000000000.0,201,7.75016732881338e-16,7.75017059729772e-16,3.2684843397289236e-22,9.483852833405917e-16,81.71960768427569,81.71964214795199,3.4463676283714744e-05,1.7050072837764,3.2565992599999994e-05,1.9100207318686622e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,40.0,8.0,5e13,50000000000000.0,202,6.865638766613737e-16,6.865641943260548e-16,3.1766468110430334e-22,9.483852833405917e-16,72.3929281402408,72.39296163556034,3.349531953778969e-05,1.5226819654228,3.12418182e-05,2.0517625419780387e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,60.0,19.0,5e13,50000000000000.0,204,5.451407279034375e-16,5.451410759491752e-16,3.480457378203366e-22,9.483852833405917e-16,57.4809349617103,57.480971660480705,3.6698770418956786e-05,1.5136514011174,3.44268576e-05,2.274424452987364e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,100.0,52.0,5e13,50000000000000.0,208,4.52300290604578e-16,4.523006589633386e-16,3.683587606138434e-22,9.483852833405917e-16,47.691618432900576,47.69165727352443,3.884062385661836e-05,1.5469741907652002,3.63127088e-05,2.3473377265614345e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
c14,C-14 spectrum,150.0,117.0,5e13,50000000000000.0,241,4.0321602655582056e-16,4.0321638087626485e-16,3.5432044415699826e-22,9.483852833405917e-16,42.516056885186224,42.516094245576625,3.736039037941839e-05,1.5769701734412,3.4805349800000004e-05,2.2071026063891357e-05,True,,46170.97174603169,5919.355352055345,170.0,413,407,6
