source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
156p5kev,156.5 keV,20.0,1e13,True,True,,25.213261121816608,1.34914192963032,2.0633673280000003e-05,1.5293923364796662e-05,6
156p5kev,156.5 keV,20.0,5e13,True,True,,24.32646410098375,1.0677624930184801,1.535157582e-05,1.4377331963218068e-05,6
156p5kev,156.5 keV,30.0,0,True,True,,41.84022551315475,2.08979440215628,2.735818012e-05,1.3091326157143227e-05,6
156p5kev,156.5 keV,30.0,1e11,True,True,,41.83916312758496,2.08715289035318,2.735626272e-05,1.3106975941456247e-05,6
156p5kev,156.5 keV,30.0,1e12,True,True,,41.827394365691084,2.06201326922478,2.763713912e-05,1.3402988008118037e-05,6
156p5kev,156.5 keV,30.0,1e13,True,True,,40.58469401833209,1.7553232260894198,2.3193480679999998e-05,1.3213224969210584e-05,6
156p5kev,156.5 keV,30.0,5e13,True,True,,29.55564538246465,1.0038610175142,1.58275813e-05,1.5766705772869713e-05,6
156p5kev,156.5 keV,40.0,0,True,True,,57.580760592883365,2.602552130901,3.0058248e-05,1.1549527728228014e-05,6
156p5kev,156.5 keV,40.0,1e11,True,True,,57.535920247641506,2.5952724061482,2.9895729799999998e-05,1.1519303225810522e-05,6
156p5kev,156.5 keV,40.0,1e12,True,True,,57.01876954193624,2.52597606983654,2.9393214160000004e-05,1.1636378709598022e-05,6
156p5kev,156.5 keV,40.0,1e13,True,True,,48.35565507112949,1.8349659497991802,2.452689672e-05,1.3366404277247892e-05,6
156p5kev,156.5 keV,40.0,5e13,True,True,,30.05924002566704,0.9455633985724999,1.56406233e-05,1.6541062528025478e-05,6
