x_um,depth_um,optical_generation_cm^-3_s^-1
-115.0,96.1,25775373.93162393
-115.0,96.3,10094017.094017094
-105.0,18.5,4505074.786324786
-105.0,20.3,90224.35897435897
-105.0,22.1,215598.2905982906
-105.0,22.3,5069177.350427351
-105.0,22.5,12583333.333333332
-105.0,22.9,6136939.102564103
-105.0,23.1,2147409.188034188
-105.0,23.3,10493322.649572648
-105.0,23.5,24611912.393162396
-105.0,78.1,22561965.811965812
-105.0,108.1,5278846.153846154
-105.0,108.3,2579540.598290598
-105.0,108.5,10952991.452991454
-105.0,108.7,11984508.547008546
-95.0,35.7,28848824.786324784
-95.0,35.9,4276976.495726496
-75.0,5.9,13914262.82051282
-75.0,6.1,12606303.41880342
-75.0,19.5,72809.82905982906
-75.0,32.9,3606036.3247863245
-65.0,45.9,107719.0170940171
-65.0,51.9,19872863.247863248
-65.0,96.3,16497863.247863248
-65.0,96.5,6863782.051282052
-55.0,1.7,11450587.606837608
-55.0,1.9,2906784.188034188
-55.0,2.1,1686038.9957264957
-55.0,2.3,1799385.683760684
-55.0,2.5,3867788.461538461
-55.0,2.7,6782318.376068376
-55.0,2.9,915197.6495726495
-55.0,3.1,1926469.017094017
-55.0,3.3,1757585.47008547
-55.0,3.5,2024412.3931623932
-55.0,3.7,9145753.205128206
-55.0,3.9,5795566.239316238
-55.0,4.1,4906517.094017094
-55.0,4.3,1481891.0256410257
-55.0,4.5,1395112.1794871795
-55.0,4.7,2592013.888888889
-55.0,4.9,941479.7008547009
-55.0,5.1,1968990.3846153847
-55.0,5.3,3053952.9914529915
-55.0,5.5,4828258.547008547
-55.0,5.7,39732905.982905984
-55.0,5.9,7183226.495726496
-55.0,6.1,4569978.632478632
-55.0,6.3,2150427.3504273505
-55.0,6.5,2541693.376068376
-55.0,6.7,983092.9487179486
-55.0,6.9,1495940.170940171
-55.0,7.1,1618055.5555555555
-55.0,7.3,1512500.0
-55.0,7.5,701522.4358974359
-55.0,7.7,2123263.888888889
-55.0,7.9,665705.1282051282
-55.0,8.1,1260389.9572649573
-55.0,8.3,2203525.641025641
-55.0,8.5,2828258.547008547
-55.0,8.7,7884348.290598291
-55.0,8.9,5170405.982905983
-55.0,17.3,9360576.923076922
-55.0,17.5,16797542.735042736
-55.0,20.1,107719.0170940171
-55.0,23.9,14404380.341880342
-55.0,24.1,286805.55555555556
-55.0,24.5,23696848.290598292
-55.0,48.1,125213.67521367522
-55.0,61.9,5192307.692307692
-55.0,62.1,23150908.11965812
-55.0,96.3,6403846.153846153
-55.0,100.7,19846153.846153844
-55.0,100.9,5999732.905982906
-45.0,0.1,27766559.829059828
-45.0,0.3,37179166.666666664
-45.0,0.5,43720619.658119656
-45.0,0.7,65658386.75213675
-45.0,0.9,65360496.7948718
-45.0,1.1,79711912.39316238
-45.0,1.3,33742975.42735043
-45.0,1.5,83718402.77777778
-45.0,1.7,110123130.34188035
-45.0,1.9,102753311.96581195
-45.0,2.1,155702991.45299146
-45.0,2.3,99241987.17948717
-45.0,2.5,143820512.8205128
-45.0,2.7,114196821.58119658
-45.0,2.9,184472702.991453
-45.0,3.1,106377083.33333334
-45.0,3.3,88618322.64957266
-45.0,3.5,57014690.170940176
-45.0,3.7,65745459.4017094
-45.0,3.9,59254540.59829059
-45.0,4.1,168591613.24786323
-45.0,4.3,84219551.2820513
-45.0,4.5,131185897.43589744
-45.0,4.7,116611645.2991453
-45.0,4.9,129360844.017094
-45.0,5.1,90804754.27350429
-45.0,5.3,113467681.62393162
-45.0,5.5,137313835.47008544
-45.0,5.7,68808146.36752136
-45.0,5.9,122662099.35897434
-45.0,6.1,170230235.04273504
-45.0,6.3,118015197.64957264
-45.0,6.5,89673076.92307691
-45.0,6.7,126087820.51282051
-45.0,6.9,196480368.58974358
-45.0,7.1,190613514.95726496
-45.0,7.3,136368910.25641024
-45.0,7.5,132102991.45299146
-45.0,7.7,135880849.35897434
-45.0,7.9,185155742.52136752
-45.0,8.1,118333867.52136753
-45.0,8.3,188799145.2991453
-45.0,8.5,125932425.2136752
-45.0,8.7,179673344.01709405
-45.0,8.9,229964476.4957265
-45.0,9.1,262557959.40170938
-45.0,9.3,134475160.25641024
-45.0,9.5,193301762.8205128
-45.0,9.7,155240651.70940173
-45.0,9.9,93704380.34188035
-45.0,10.1,143110309.82905984
-45.0,10.3,177358974.35897434
-45.0,10.5,97668803.41880341
-45.0,10.7,101106036.32478632
-45.0,10.9,72909188.03418803
-45.0,11.1,149823263.8888889
-45.0,11.3,156824991.9871795
-45.0,11.5,127579487.17948717
-45.0,11.7,123707986.11111112
-45.0,11.9,114011485.04273504
-45.0,12.1,163520566.23931623
-45.0,12.3,119638888.8888889
-45.0,12.5,127424679.48717949
-45.0,12.7,144489583.33333334
-45.0,12.9,172956730.76923075
-45.0,13.1,117910523.50427349
-45.0,13.3,133205128.20512821
