c(N_anode:N_anode)(20_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(20_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(40_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(40_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(70_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(70_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(100_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(100_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(120_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(120_Nt1e13_cv_ac_des) Y,c(N_anode:N_anode)(130_Nt1e13_cv_ac_des) X,c(N_anode:N_anode)(130_Nt1e13_cv_ac_des) Y
82.5,2.4644298e-13,82.5,1.2327192e-13,82.5,7.0444824e-14,82.5,4.9310978e-14,82.5,4.1092214e-14,82.5,3.7931033e-14
85,2.4643434e-13,85,1.2326801e-13,85,7.0442833e-14,85,4.9309697e-14,85,4.1091237e-14,85,3.7930145e-14
87.5,2.4642614e-13,87.5,1.232643e-13,87.5,7.0440941e-14,87.5,4.9308477e-14,87.5,4.1090304e-14,87.5,3.7929296e-14
90,2.4641834e-13,90,1.2326079e-13,90,7.0439142e-14,90,4.9307314e-14,90,4.1089412e-14,90,3.7928486e-14
92.5,2.4641091e-13,92.5,1.2325744e-13,92.5,7.0437428e-14,92.5,4.9306204e-14,92.5,4.1088558e-14,92.5,3.7927712e-14
95,2.4640382e-13,95,1.2325426e-13,95,7.0435794e-14,95,4.9305144e-14,95,4.108774e-14,95,3.7926971e-14
97.5,2.4639704e-13,97.5,1.2325123e-13,97.5,7.0434234e-14,97.5,4.9304131e-14,97.5,4.1086955e-14,97.5,3.7926261e-14
100,2.4639056e-13,100,1.2324834e-13,100,7.0432744e-14,100,4.9303161e-14,100,4.1086201e-14,100,3.7925581e-14
102.5,2.4638435e-13,102.5,1.2324558e-13,102.5,7.0431318e-14,102.5,4.9302232e-14,102.5,4.1085477e-14,102.5,3.7924928e-14
105,2.4637838e-13,105,1.2324294e-13,105,7.0429953e-14,105,4.9301341e-14,105,4.1084781e-14,105,3.7924301e-14
107.5,2.4637265e-13,107.5,1.2324041e-13,107.5,7.0428645e-14,107.5,4.9300486e-14,107.5,4.1084111e-14,107.5,3.7923699e-14
110,2.4636713e-13,110,1.2323799e-13,110,7.0427391e-14,110,4.9299666e-14,110,4.1083467e-14,110,3.792312e-14
112.5,2.4636181e-13,112.5,1.2323567e-13,112.5,7.0426186e-14,112.5,4.9298877e-14,112.5,4.1082846e-14,112.5,3.7922563e-14
115,2.4635668e-13,115,1.2323344e-13,115,7.0425029e-14,115,4.9298119e-14,115,4.1082248e-14,115,3.7922026e-14
117.5,2.4635172e-13,117.5,1.232313e-13,117.5,7.0423916e-14,117.5,4.9297389e-14,117.5,4.1081671e-14,117.5,3.7921509e-14
120,2.4634692e-13,120,1.2322924e-13,120,7.0422846e-14,120,4.9296686e-14,120,4.1081114e-14,120,3.792101e-14
122.5,2.4634227e-13,122.5,1.2322726e-13,122.5,7.0421815e-14,122.5,4.9296009e-14,122.5,4.1080576e-14,122.5,3.7920529e-14
125,2.4633777e-13,125,1.2322535e-13,125,7.0420821e-14,125,4.9295355e-14,125,4.1080057e-14,125,3.7920065e-14
127.5,2.4633339e-13,127.5,1.2322352e-13,127.5,7.0419863e-14,127.5,4.9294725e-14,127.5,4.1079555e-14,127.5,3.7919616e-14
130,2.4632914e-13,130,1.2322174e-13,130,7.0418939e-14,130,4.9294117e-14,130,4.107907e-14,130,3.7919182e-14
132.5,2.4632501e-13,132.5,1.2322003e-13,132.5,7.0418046e-14,132.5,4.9293529e-14,132.5,4.1078601e-14,132.5,3.7918762e-14
135,2.4632098e-13,135,1.2321838e-13,135,7.0417184e-14,135,4.9292961e-14,135,4.1078147e-14,135,3.7918356e-14
137.5,2.4631705e-13,137.5,1.2321678e-13,137.5,7.0416351e-14,137.5,4.9292411e-14,137.5,4.1077707e-14,137.5,3.7917963e-14
140,2.4631322e-13,140,1.2321524e-13,140,7.0415544e-14,140,4.929188e-14,140,4.1077281e-14,140,3.7917582e-14
142.5,2.4630948e-13,142.5,1.2321374e-13,142.5,7.0414764e-14,142.5,4.9291365e-14,142.5,4.1076868e-14,142.5,3.7917213e-14
145,2.4630582e-13,145,1.232123e-13,145,7.0414008e-14,145,4.9290867e-14,145,4.1076467e-14,145,3.7916855e-14
147.5,2.4630224e-13,147.5,1.232109e-13,147.5,7.0413276e-14,147.5,4.9290384e-14,147.5,4.1076079e-14,147.5,3.7916508e-14
150,2.4629873e-13,150,1.2320954e-13,150,7.0412567e-14,150,4.9289915e-14,150,4.1075702e-14,150,3.791617e-14
152.5,2.4629529e-13,152.5,1.2320822e-13,152.5,7.0411879e-14,152.5,4.9289461e-14,152.5,4.1075336e-14,152.5,3.7915843e-14
155,2.4629192e-13,155,1.2320695e-13,155,7.0411211e-14,155,4.928902e-14,155,4.1074981e-14,155,3.7915525e-14
157.5,2.462886e-13,157.5,1.2320571e-13,157.5,7.0410563e-14,157.5,4.9288592e-14,157.5,4.1074635e-14,157.5,3.7915215e-14
160,2.4628535e-13,160,1.232045e-13,160,7.0409933e-14,160,4.9288176e-14,160,4.10743e-14,160,3.7914915e-14
162.5,2.4628214e-13,162.5,1.2320334e-13,162.5,7.0409322e-14,162.5,4.9287772e-14,162.5,4.1073974e-14,162.5,3.7914622e-14
165,2.4627899e-13,165,1.232022e-13,165,7.0408727e-14,165,4.9287379e-14,165,4.1073656e-14,165,3.7914337e-14
167.5,2.4627588e-13,167.5,1.2320109e-13,167.5,7.0408149e-14,167.5,4.9286997e-14,167.5,4.1073347e-14,167.5,3.791406e-14
170,2.4627282e-13,170,1.2320002e-13,170,7.0407587e-14,170,4.9286626e-14,170,4.1073047e-14,170,3.791379e-14
172.5,2.4626981e-13,172.5,1.2319897e-13,172.5,7.0407039e-14,172.5,4.9286264e-14,172.5,4.1072754e-14,172.5,3.7913527e-14
175,2.4626683e-13,175,1.2319795e-13,175,7.0406507e-14,175,4.9285912e-14,175,4.1072469e-14,175,3.7913271e-14
177.5,2.4626389e-13,177.5,1.2319696e-13,177.5,7.0405987e-14,177.5,4.9285569e-14,177.5,4.1072191e-14,177.5,3.7913021e-14
180,2.4626098e-13,180,1.2319599e-13,180,7.0405482e-14,180,4.9285235e-14,180,4.1071921e-14,180,3.7912778e-14
182.5,2.4625811e-13,182.5,1.2319505e-13,182.5,7.0404989e-14,182.5,4.9284909e-14,182.5,4.1071657e-14,182.5,3.791254e-14
185,2.4625527e-13,185,1.2319413e-13,185,7.0404508e-14,185,4.9284592e-14,185,4.1071399e-14,185,3.7912308e-14
187.5,2.4625246e-13,187.5,1.2319324e-13,187.5,7.040404e-14,187.5,4.9284282e-14,187.5,4.1071148e-14,187.5,3.7912082e-14
190,2.4624967e-13,190,1.2319236e-13,190,7.0403582e-14,190,4.928398e-14,190,4.1070903e-14,190,3.7911861e-14
192.5,2.4624692e-13,192.5,1.2319151e-13,192.5,7.0403136e-14,192.5,4.9283685e-14,192.5,4.1070664e-14,192.5,3.7911645e-14
195,2.4624419e-13,195,1.2319068e-13,195,7.04027e-14,195,4.9283397e-14,195,4.107043e-14,195,3.7911434e-14
197.5,2.4624148e-13,197.5,1.2318986e-13,197.5,7.0402275e-14,197.5,4.9283116e-14,197.5,4.1070202e-14,197.5,3.7911228e-14
200,2.4623879e-13,200,1.2318907e-13,200,7.0401859e-14,200,4.9282841e-14,200,4.1069979e-14,200,3.7911027e-14
202.5,2.4623613e-13,202.5,1.2318829e-13,202.5,7.0401453e-14,202.5,4.9282573e-14,202.5,4.1069761e-14,202.5,3.791083e-14
205,2.4623349e-13,205,1.2318753e-13,205,7.0401056e-14,205,4.9282311e-14,205,4.1069548e-14,205,3.7910637e-14
207.5,2.4623087e-13,207.5,1.2318678e-13,207.5,7.0400667e-14,207.5,4.9282054e-14,207.5,4.106934e-14,207.5,3.7910449e-14
210,2.4622826e-13,210,1.2318606e-13,210,7.0400288e-14,210,4.9281803e-14,210,4.1069136e-14,210,3.7910265e-14
212.5,2.4622567e-13,212.5,1.2318534e-13,212.5,7.0399916e-14,212.5,4.9281558e-14,212.5,4.1068937e-14,212.5,3.7910084e-14
215,2.4622311e-13,215,1.2318465e-13,215,7.0399553e-14,215,4.9281318e-14,215,4.1068742e-14,215,3.7909908e-14
217.5,2.4622055e-13,217.5,1.2318396e-13,217.5,7.0399197e-14,217.5,4.9281083e-14,217.5,4.1068551e-14,217.5,3.7909735e-14
220,2.4621802e-13,220,1.231833e-13,220,7.0398849e-14,220,4.9280853e-14,220,4.1068364e-14,220,3.7909565e-14
222.5,2.4621549e-13,222.5,1.2318264e-13,222.5,7.0398508e-14,222.5,4.9280628e-14,222.5,4.1068181e-14,222.5,3.7909399e-14
225,2.4621299e-13,225,1.23182e-13,225,7.0398174e-14,225,4.9280407e-14,225,4.1068002e-14,225,3.7909237e-14
227.5,2.4621049e-13,227.5,1.2318137e-13,227.5,7.0397847e-14,227.5,4.9280191e-14,227.5,4.1067826e-14,227.5,3.7909078e-14
230,2.4620801e-13,230,1.2318075e-13,230,7.0397526e-14,230,4.9279979e-14,230,4.1067654e-14,230,3.7908921e-14
232.5,2.4620555e-13,232.5,1.2318015e-13,232.5,7.0397212e-14,232.5,4.9279772e-14,232.5,4.1067486e-14,232.5,3.7908768e-14
235,2.4620309e-13,235,1.2317955e-13,235,7.0396904e-14,235,4.9279569e-14,235,4.1067321e-14,235,3.7908618e-14
237.5,2.4620065e-13,237.5,1.2317897e-13,237.5,7.0396602e-14,237.5,4.9279369e-14,237.5,4.1067159e-14,237.5,3.7908471e-14
240,2.4619822e-13,240,1.231784e-13,240,7.0396305e-14,240,4.9279173e-14,240,4.1067e-14,240,3.7908327e-14
242.5,2.461958e-13,242.5,1.2317784e-13,242.5,7.0396015e-14,242.5,4.9278982e-14,242.5,4.1066844e-14,242.5,3.7908185e-14
245,2.461934e-13,245,1.2317728e-13,245,7.039573e-14,245,4.9278793e-14,245,4.1066691e-14,245,3.7908046e-14
247.5,2.46191e-13,247.5,1.2317674e-13,247.5,7.039545e-14,247.5,4.9278609e-14,247.5,4.1066541e-14,247.5,3.7907909e-14
250,2.4618862e-13,250,1.2317621e-13,250,7.0395175e-14,250,4.9278427e-14,250,4.1066393e-14,250,3.7907775e-14
252.5,2.4618624e-13,252.5,1.2317569e-13,252.5,7.0394905e-14,252.5,4.9278249e-14,252.5,4.1066249e-14,252.5,3.7907644e-14
255,2.4618388e-13,255,1.2317517e-13,255,7.039464e-14,255,4.9278075e-14,255,4.1066107e-14,255,3.7907515e-14
257.5,2.4618152e-13,257.5,1.2317467e-13,257.5,7.039438e-14,257.5,4.9277903e-14,257.5,4.1065967e-14,257.5,3.7907388e-14
260,2.4617918e-13,260,1.2317417e-13,260,7.0394125e-14,260,4.9277734e-14,260,4.1065831e-14,260,3.7907263e-14
262.5,2.4617684e-13,262.5,1.2317368e-13,262.5,7.0393874e-14,262.5,4.9277569e-14,262.5,4.1065696e-14,262.5,3.7907141e-14
265,2.4617452e-13,265,1.231732e-13,265,7.0393627e-14,265,4.9277406e-14,265,4.1065564e-14,265,3.790702e-14
267.5,2.461722e-13,267.5,1.2317272e-13,267.5,7.0393385e-14,267.5,4.9277246e-14,267.5,4.1065434e-14,267.5,3.7906902e-14
270,2.4616989e-13,270,1.2317226e-13,270,7.0393147e-14,270,4.9277089e-14,270,4.1065306e-14,270,3.7906786e-14
272.5,2.4616759e-13,272.5,1.231718e-13,272.5,7.0392912e-14,272.5,4.9276934e-14,272.5,4.1065181e-14,272.5,3.7906671e-14
275,2.461653e-13,275,1.2317134e-13,275,7.0392682e-14,275,4.9276782e-14,275,4.1065058e-14,275,3.7906559e-14
277.5,2.4616302e-13,277.5,1.231709e-13,277.5,7.0392456e-14,277.5,4.9276633e-14,277.5,4.1064936e-14,277.5,3.7906448e-14
280,2.4616074e-13,280,1.2317046e-13,280,7.0392233e-14,280,4.9276486e-14,280,4.1064817e-14,280,3.790634e-14
282.5,2.4615847e-13,282.5,1.2317002e-13,282.5,7.0392014e-14,282.5,4.9276342e-14,282.5,4.10647e-14,282.5,3.7906233e-14
285,2.4615621e-13,285,1.231696e-13,285,7.0391798e-14,285,4.9276199e-14,285,4.1064584e-14,285,3.7906127e-14
287.5,2.4615396e-13,287.5,1.2316917e-13,287.5,7.0391586e-14,287.5,4.927606e-14,287.5,4.1064471e-14,287.5,3.7906024e-14
290,2.4615171e-13,290,1.2316876e-13,290,7.0391377e-14,290,4.9275922e-14,290,4.1064359e-14,290,3.7905922e-14
292.5,2.4614947e-13,292.5,1.2316835e-13,292.5,7.0391171e-14,292.5,4.9275786e-14,292.5,4.1064249e-14,292.5,3.7905822e-14
295,2.4614724e-13,295,1.2316794e-13,295,7.0390969e-14,295,4.9275653e-14,295,4.1064141e-14,295,3.7905723e-14
297.5,2.4614502e-13,297.5,1.2316754e-13,297.5,7.0390769e-14,297.5,4.9275522e-14,297.5,4.1064034e-14,297.5,3.7905626e-14
300,2.461428e-13,300,1.2316715e-13,300,7.0390573e-14,300,4.9275392e-14,300,4.1063929e-14,300,3.790553e-14

