# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
0.0050,0.0050,45.100,4.6820e+01
-0.0050,0.0150,32.500,4.1628e+02
-0.0050,0.0050,17.500,1.3070e+01
0.0050,-0.0050,7.700,6.3651e+03
0.0050,0.0150,1.500,6.1070e+01
0.0050,-0.0050,7.500,1.5579e+04
-0.0650,-0.0050,43.100,5.1647e+02
-0.0650,-0.0050,42.900,8.1846e+02
-0.0650,-0.0050,42.700,9.5492e+03
-0.0650,-0.0050,42.500,2.6252e+03
0.0550,0.0550,5.500,2.6030e+03
0.0550,0.0550,5.300,2.7257e+03
0.0550,0.0550,5.100,1.4187e+03
0.0550,0.0550,4.900,3.1935e+03
0.0550,0.0550,4.700,1.3769e+03
-0.0050,-0.0050,7.700,1.0006e+03
-0.0050,-0.0050,7.500,2.0289e+04
-0.0050,0.0150,32.300,4.8867e+03
0.0150,0.0250,14.300,4.0330e+01
0.0050,-0.0050,7.100,2.8989e+04
-0.0650,-0.0150,43.100,3.4924e+03
-0.0050,0.0050,7.300,9.9229e+03
0.0350,0.0550,26.900,9.1933e+03
0.0050,-0.0050,7.300,2.1587e+04
-0.0050,-0.0050,7.300,2.4455e+04
-0.0050,-0.0050,6.900,6.4621e+04
-0.0650,-0.0150,42.900,1.5849e+03
-0.0050,0.0050,7.100,3.2932e+04
0.0050,0.0050,7.500,2.3157e+04
-0.0050,0.0150,14.700,5.1091e+03
0.0050,0.0050,7.300,1.6961e+04
-0.0050,0.0150,14.500,1.5596e+03
0.0050,0.0050,7.100,1.1070e+05
-0.0450,-0.1150,109.700,6.2574e+03
-0.0050,-0.0050,12.700,1.6843e+03
-0.0050,-0.0050,12.500,1.4639e+02
-0.0450,-0.1150,109.900,7.6156e+02
-0.0050,-0.0050,12.900,1.8332e+03
-0.0050,-0.0050,7.100,3.0330e+04
-0.0650,-0.0150,42.700,1.0261e+03
-0.0050,0.0050,6.900,6.7577e+04
-0.0050,-0.0050,6.700,1.7418e+05
0.0250,0.0250,3.900,2.6550e+01
0.0050,-0.0050,6.900,7.8436e+04
0.0050,-0.0050,6.700,1.5374e+05
0.0050,-0.0050,6.500,3.1851e+05
0.0050,-0.0050,6.300,5.1295e+05
-0.0050,0.0050,6.700,1.5766e+05
-0.0050,0.0050,6.500,2.5980e+05
-0.0050,-0.0050,6.100,8.4578e+05
-0.0050,-0.0050,5.900,1.4553e+06
-0.0050,-0.0050,5.700,2.1425e+06
0.0050,-0.0050,6.100,9.6762e+05
-0.0050,0.0050,5.100,5.3324e+06
-0.0050,0.0050,4.900,7.5009e+06
-0.0050,0.0050,4.700,9.5821e+06
-0.0050,0.0050,4.500,1.1223e+07
0.0050,0.0050,1.900,3.7438e+07
-0.0050,-0.0050,4.300,1.4403e+07
0.0050,0.0050,1.700,3.7668e+07
-0.0050,-0.0050,4.100,1.6079e+07
0.0050,0.0050,1.500,3.8261e+07
0.0150,0.0050,88.700,6.9828e+03
-0.0050,-0.0050,3.900,1.9117e+07
0.0050,0.0050,1.300,3.6834e+07
-0.0050,-0.0050,3.700,2.1520e+07
0.0050,0.0050,1.100,3.5290e+07
-0.0050,-0.0050,3.500,2.3992e+07
0.0050,0.0050,0.900,3.3498e+07
-0.0050,-0.0050,3.300,2.5697e+07
0.0050,0.0050,0.700,3.0911e+07
-0.0050,-0.0050,3.100,2.8469e+07
-0.0150,0.0050,8.100,1.3301e+03
0.0450,-0.0150,45.100,7.5459e+03
-0.0050,-0.0050,0.700,3.0898e+07
0.0450,-0.0150,44.700,1.6647e+03
0.0050,0.0050,7.900,5.6937e+03
-0.0050,-0.0050,0.300,2.4151e+07
-0.0050,0.0050,6.300,4.9501e+05
0.0050,0.0050,7.700,1.4833e+03
-0.0050,-0.0050,0.100,1.8084e+07
-0.0050,0.0050,6.100,8.8036e+05
0.0050,-0.0050,2.900,3.0712e+07
-0.0050,0.0050,1.100,3.6156e+07
-0.0150,0.0050,7.900,1.5595e+03
0.0450,-0.0150,44.900,5.6866e+03
0.0050,0.0050,8.100,2.1265e+03
-0.0050,-0.0050,0.500,2.7967e+07
0.0050,-0.0050,3.500,2.4067e+07
0.0050,0.0050,0.500,2.7767e+07
-0.0050,-0.0050,2.900,2.9931e+07
0.0050,-0.0050,2.500,3.4112e+07
-0.0050,0.0050,0.700,3.0751e+07
0.0050,-0.0050,3.300,2.6449e+07
0.0050,0.0050,0.300,2.4515e+07
-0.0050,-0.0050,2.700,3.2230e+07
0.0050,-0.0050,2.300,3.4936e+07
-0.0050,0.0050,0.500,2.8106e+07
0.0050,-0.0050,3.100,2.8428e+07
0.0050,0.0050,0.100,2.8602e+07
-0.0050,-0.0050,2.500,3.3667e+07
0.0050,-0.0050,2.100,3.6737e+07
0.0050,-0.0050,1.100,3.5377e+07
-0.0250,-0.0650,59.900,3.3280e+01
-0.0050,-0.0050,2.300,3.5499e+07
0.0050,-0.0050,1.300,3.6961e+07
0.0050,-0.0050,1.500,3.8010e+07
0.0450,-0.0150,45.700,1.4289e+03
-0.0050,-0.0050,1.300,3.6575e+07
-0.0050,0.0050,7.500,1.2957e+03
0.0050,-0.0050,0.100,1.7835e+07
0.0050,0.0050,6.100,1.0217e+06
0.0450,-0.0150,45.900,1.9746e+03
-0.0050,-0.0050,1.500,3.7243e+07
0.0050,-0.0050,0.300,2.4116e+07
0.0050,0.0050,6.300,6.4499e+05
-0.0050,-0.0050,1.700,3.7650e+07
0.0050,-0.0050,0.500,2.7090e+07
0.0050,0.0050,6.500,3.6034e+05
-0.0050,-0.0050,1.900,3.7926e+07
0.0050,-0.0050,0.700,3.0344e+07
0.0050,0.0050,6.700,1.7697e+05
-0.0050,-0.0050,2.100,3.7000e+07
0.0050,-0.0050,0.900,3.3405e+07
-0.0050,0.0150,14.300,8.3721e+02
0.0050,0.0050,6.900,8.5392e+04
-0.0150,0.0050,8.300,5.3177e+03
0.0450,-0.0150,45.300,9.2277e+02
-0.0050,-0.0050,0.900,3.3394e+07
0.0450,-0.0150,45.500,1.5038e+03
-0.0050,-0.0050,1.100,3.5219e+07
0.0050,-0.0050,1.700,3.7064e+07
-0.0050,0.0050,0.100,1.8073e+07
0.0050,-0.0050,1.900,3.6409e+07
0.0050,-0.0050,2.700,3.2279e+07
-0.0050,0.0050,0.900,3.3594e+07
-0.0050,0.0050,5.300,3.8653e+06
-0.0050,0.0050,5.500,2.8261e+06
-0.0050,0.0050,5.700,2.0610e+06
-0.0050,0.0050,5.900,1.3121e+06
-0.0050,-0.0050,6.300,5.1712e+05
