# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
0.0150,0.0050,9.100,1.0895e+05
0.0150,0.0050,8.700,1.0687e+05
0.0150,0.0050,8.900,1.3594e+05
-0.0150,0.0050,9.900,2.7294e+04
-0.0050,-0.0150,9.500,4.1837e+04
-0.0150,0.0050,10.100,2.3355e+04
-0.0050,-0.0150,9.700,3.1006e+04
-0.0250,0.0250,10.700,1.3070e+01
-0.0150,0.0050,10.300,2.1202e+04
-0.0050,-0.0150,9.900,3.3739e+04
-0.0150,-0.0150,6.700,5.9727e+03
-0.0150,-0.0150,6.500,9.1603e+03
0.0150,0.0150,5.500,6.7152e+03
0.0150,0.0150,5.700,3.3221e+01
0.0150,0.0050,10.300,4.6294e+04
0.0150,0.0050,10.700,5.2908e+04
0.0150,0.0050,10.500,5.0732e+04
0.0050,0.0050,16.500,2.2624e+04
0.0050,0.0050,16.300,2.9184e+04
-0.0150,-0.0050,10.300,5.0970e+04
-0.0150,-0.0050,10.100,8.2691e+04
-0.0150,0.1050,9.700,1.2670e+03
-0.0150,-0.0050,9.900,3.3430e+04
-0.0150,0.1050,9.500,5.0904e+03
-0.0150,-0.0050,9.700,6.7831e+04
0.0050,0.0150,0.100,8.5386e+04
0.0050,0.0150,11.700,1.8044e+04
0.0150,-0.0050,11.300,3.6753e+04
0.0050,0.0150,11.500,1.2141e+04
0.0150,-0.0050,11.100,5.5779e+04
0.0050,-0.0050,15.500,1.2952e+05
0.0050,-0.0050,15.300,1.6765e+05
0.0150,-0.0050,12.300,2.3271e+03
0.0050,0.0150,12.700,1.3407e+03
0.0150,-0.0050,12.500,2.1286e+03
0.0050,0.0150,12.900,8.9727e+03
0.0050,0.0150,0.300,1.2739e+05
-0.0150,-0.0050,2.500,2.7033e+05
-0.0150,-0.0050,2.700,2.7513e+05
-0.0150,-0.0050,2.900,3.0029e+05
-0.0150,-0.0050,3.100,3.5173e+05
0.0150,0.0050,10.100,4.5553e+04
0.0050,-0.0050,15.900,8.6306e+04
0.0050,-0.0050,15.700,1.1155e+05
-0.0150,-0.0050,5.500,2.7298e+05
0.0050,-0.0050,15.100,1.7585e+05
-0.0150,-0.0050,10.900,1.9171e+04
0.0750,-0.0250,67.500,4.5619e+03
0.0150,0.0050,49.700,5.2739e+03
-0.0150,-0.0050,10.700,2.8638e+04
0.0750,-0.0250,67.300,2.2774e+03
0.0150,0.0050,49.500,4.2759e+03
-0.0150,-0.0050,10.500,3.8147e+04
0.0750,-0.0250,67.100,2.9503e+03
0.0350,-0.0150,37.500,3.9740e+01
0.0150,0.0050,4.900,3.1116e+05
0.0150,0.0050,5.100,2.2267e+05
-0.0150,-0.0150,11.900,1.0753e+04
0.0150,0.0050,0.100,5.7890e+04
0.0150,0.0050,0.300,9.0112e+04
0.0150,0.0050,0.500,8.4072e+04
0.0150,0.0050,4.700,3.1514e+05
0.0150,0.0050,4.500,3.0284e+05
0.0150,0.0050,0.700,1.1190e+05
-0.0050,0.0150,0.100,7.8832e+04
-0.0050,0.0150,0.300,1.0293e+05
-0.0150,-0.0050,5.700,3.3065e+05
0.0050,0.0050,16.100,5.0153e+04
0.0050,0.0050,15.900,8.0263e+04
0.0050,0.0050,15.700,1.2880e+05
0.0050,0.0050,15.500,1.4181e+05
0.0050,0.0050,15.300,1.5314e+05
0.0050,0.0050,15.100,2.4234e+05
0.0050,0.0050,14.900,2.9259e+05
0.0050,0.0050,14.700,3.5935e+05
0.0050,0.0050,14.500,4.9862e+05
0.0150,0.0050,4.100,3.2665e+05
0.0150,0.0050,4.300,3.3148e+05
-0.0150,-0.0350,42.300,2.1907e+03
-0.0150,-0.0150,22.100,4.6880e+01
-0.0050,-0.0050,102.300,4.7511e+03
-0.0050,-0.0150,1.500,2.0346e+05
-0.0150,0.0050,1.900,1.8835e+05
-0.0150,0.0050,0.100,7.4291e+04
-0.0150,0.0050,0.300,1.1673e+05
-0.0150,-0.0050,3.300,2.6703e+05
-0.0150,-0.0050,3.500,2.7441e+05
-0.0150,0.0050,8.500,1.1693e+05
-0.0050,-0.0150,8.100,1.3846e+05
-0.0150,-0.0050,0.100,9.1748e+04
-0.0150,-0.0350,42.100,5.8788e+03
-0.0050,-0.0050,102.100,5.7992e+02
-0.0050,-0.0150,1.300,2.5630e+05
-0.0150,0.0050,1.700,1.9513e+05
-0.0050,-0.0150,5.900,2.4825e+05
-0.0150,0.0050,6.300,2.4829e+05
-0.0050,-0.0150,5.700,2.9554e+05
-0.0150,0.0050,6.100,2.6646e+05
-0.0050,-0.0150,5.500,2.7643e+05
-0.0150,0.0050,5.900,2.4507e+05
-0.0050,-0.0150,5.300,2.9621e+05
-0.0150,0.0050,5.700,3.1643e+05
0.0850,-0.0250,4.900,8.7222e+02
0.0150,0.0050,7.900,1.5803e+05
0.0150,0.0050,6.500,1.9608e+05
-0.0150,-0.0050,8.100,1.3030e+05
-0.0150,-0.0050,8.300,9.5704e+04
-0.0150,-0.0050,8.500,1.3394e+05
-0.0150,-0.0050,8.700,1.1575e+05
-0.0150,-0.0050,8.900,5.8797e+04
0.0150,0.0150,50.900,1.2832e+03
-0.0150,0.0050,11.900,1.2520e+04
-0.0050,-0.0150,11.500,2.3840e+04
-0.0150,0.0050,12.100,4.2790e+03
-0.0050,-0.0150,11.700,1.1006e+04
-0.0150,0.0050,12.300,4.6970e+03
-0.0050,-0.0150,11.900,1.5953e+04
0.0150,0.0050,0.900,1.0738e+05
0.0150,-0.0050,8.700,7.7585e+04
0.0050,0.0150,9.100,1.0938e+05
0.0150,-0.0050,8.500,9.4839e+04
0.0050,0.0150,8.900,1.1423e+05
0.0150,-0.0050,8.300,1.4713e+05
0.0050,0.0150,8.700,7.1596e+04
0.0150,-0.0050,8.100,1.8978e+05
0.0050,0.0150,8.500,1.2324e+05
0.0150,-0.0050,7.900,1.8693e+05
0.0050,0.0150,8.300,2.2037e+05
0.0150,0.0050,5.300,2.1415e+05
0.0150,0.0050,5.500,2.2662e+05
0.0150,0.0050,5.700,2.6508e+05
0.0150,0.0050,5.900,2.6108e+05
-0.0050,-0.0150,4.300,2.9801e+05
-0.0150,0.0050,4.700,3.0716e+05
-0.0050,-0.0050,17.100,1.5931e+04
-0.0050,-0.0050,16.900,6.5333e+03
-0.0050,-0.0050,16.700,1.6488e+04
-0.0450,-0.0350,18.300,6.8676e+03
-0.0050,-0.0050,16.500,2.1197e+04
-0.0450,-0.0350,18.100,5.3858e+03
-0.0050,-0.0050,16.300,2.8289e+04
-0.0050,-0.0050,16.100,5.8364e+04
-0.0050,-0.0050,15.900,6.0462e+04
-0.0150,-0.0050,0.300,7.5270e+04
-0.0150,-0.0050,2.100,1.6206e+05
-0.0150,-0.0050,2.300,2.0305e+05
0.0150,0.0050,6.300,2.7265e+05
0.0150,0.0050,6.100,2.7971e+05
-0.0050,-0.0050,12.300,3.1915e+06
-0.0050,-0.0050,12.100,3.6095e+06
-0.0050,-0.0050,11.900,4.0201e+06
-0.0050,-0.0050,11.700,4.6867e+06
-0.0050,-0.0050,11.500,4.7582e+06
-0.0050,-0.0050,11.300,5.5220e+06
0.0150,-0.0050,2.700,2.5388e+05
0.0050,0.0150,3.100,2.9004e+05
-0.0050,-0.0050,11.100,6.1597e+06
-0.0050,-0.0050,14.500,5.0951e+05
-0.0050,-0.0050,14.300,6.4052e+05
-0.0050,-0.0050,14.100,6.8567e+05
-0.0050,-0.0050,13.900,8.9296e+05
-0.0050,-0.0050,13.700,1.0374e+06
0.0050,-0.0150,0.500,7.0466e+04
-0.0050,0.0050,0.900,1.7082e+07
-0.0050,-0.0050,13.500,1.4142e+06
0.0250,0.0350,19.500,4.0330e+01
0.0050,-0.0150,0.300,4.4346e+04
-0.0050,0.0050,0.700,1.6403e+07
-0.0050,-0.0050,13.300,1.6819e+06
0.0050,-0.0150,0.100,6.0909e+04
-0.0050,0.0050,0.500,1.4908e+07
-0.0050,-0.0050,13.100,1.9954e+06
-0.0050,0.0050,0.300,1.4667e+07
-0.0050,-0.0050,12.900,2.2091e+06
-0.0050,0.0050,0.100,1.0158e+07
0.0050,-0.0050,12.900,2.1309e+06
0.0050,0.0050,0.100,2.1625e+07
0.0050,-0.0050,12.700,2.5582e+06
-0.0050,0.0150,12.900,2.0535e+03
0.0050,-0.0050,12.500,2.9145e+06
-0.0050,0.0150,12.700,2.0291e+03
0.0050,-0.0050,12.300,3.2315e+06
-0.0050,0.0150,12.500,9.1212e+03
0.0050,-0.0050,12.100,3.6860e+06
-0.0050,0.0150,12.300,5.3966e+03
0.0050,-0.0050,11.900,4.0333e+06
-0.0050,0.0150,12.100,4.8353e+03
0.0050,-0.0050,11.700,4.6132e+06
-0.0050,0.0150,11.900,7.2967e+03
0.0050,-0.0050,11.500,5.2777e+06
-0.0050,0.0150,11.700,1.5022e+04
0.0050,-0.0050,11.300,5.8072e+06
-0.0050,0.0150,11.500,2.5093e+04
0.0050,-0.0050,11.100,6.3035e+06
-0.0050,0.0150,11.300,3.2004e+04
0.0050,-0.0050,10.900,6.9624e+06
-0.0050,0.0150,11.100,3.0310e+04
0.0050,-0.0050,10.700,7.4917e+06
-0.0050,0.0150,10.900,5.0754e+04
0.0050,-0.0050,10.500,7.9020e+06
-0.0050,0.0150,10.700,5.3161e+04
0.0050,-0.0050,10.300,9.0750e+06
-0.0050,0.0150,10.500,8.5458e+03
0.0050,-0.0050,10.100,9.4027e+06
-0.0050,0.0150,10.300,2.0545e+04
0.0050,-0.0050,9.900,1.0398e+07
-0.0050,0.0150,10.100,2.4580e+04
0.0050,-0.0050,9.700,1.1018e+07
-0.0050,0.0150,9.900,5.8486e+04
0.0050,-0.0050,9.500,1.2043e+07
-0.0050,0.0150,9.700,5.2499e+04
0.0050,-0.0050,9.300,1.2862e+07
-0.0150,0.0050,5.100,4.1529e+05
-0.0050,-0.0150,4.700,2.9440e+05
-0.0050,0.0150,8.100,1.0988e+05
0.0050,-0.0050,7.700,1.8606e+07
-0.0150,0.0050,3.500,2.6254e+05
-0.0050,-0.0150,3.100,3.1077e+05
-0.0050,-0.0050,10.900,6.7136e+06
-0.0050,-0.0050,10.700,7.6021e+06
-0.0050,-0.0050,10.500,8.3836e+06
-0.0050,-0.0050,10.300,8.8325e+06
-0.0050,-0.0050,10.100,9.3870e+06
-0.0050,-0.0050,9.900,1.0129e+07
-0.0050,0.1050,8.700,1.0462e+03
-0.0050,-0.0050,8.900,1.3811e+07
0.0050,0.0050,13.500,1.3160e+06
-0.0050,0.1050,8.500,1.8086e+03
-0.0050,-0.0050,8.700,1.4840e+07
0.0050,0.0050,13.300,1.6213e+06
-0.0050,-0.0050,8.500,1.4943e+07
0.0050,0.0050,13.100,1.7812e+06
-0.0050,-0.0050,8.300,1.5798e+07
0.0050,0.0050,12.900,2.0247e+06
-0.0050,-0.0050,8.100,1.6610e+07
0.0050,0.0050,12.700,2.3181e+06
-0.0050,0.0150,7.900,1.8454e+05
0.0050,-0.0050,7.500,1.8793e+07
-0.0150,0.0050,3.300,2.5919e+05
-0.0050,-0.0150,2.900,2.7072e+05
-0.0050,0.0150,7.700,1.3940e+05
0.0050,-0.0050,7.300,1.9913e+07
-0.0150,0.0050,3.100,3.3565e+05
-0.0050,-0.0150,2.700,3.1925e+05
-0.0050,0.0150,7.500,1.6805e+05
0.0050,-0.0050,7.100,2.0536e+07
-0.0050,0.0150,7.300,1.6610e+05
0.0050,-0.0050,6.900,2.0853e+07
-0.0050,-0.0050,7.900,1.7330e+07
0.0050,0.0050,12.500,2.8620e+06
-0.0050,-0.0050,7.700,1.7987e+07
0.0050,0.0050,12.300,3.3832e+06
-0.0050,-0.0050,7.500,1.9098e+07
0.0050,0.0050,12.100,3.6879e+06
-0.0050,-0.0050,7.300,1.9611e+07
0.0050,0.0050,11.900,4.1191e+06
-0.0050,-0.0050,7.100,2.0142e+07
0.0050,0.0050,11.700,4.5406e+06
-0.0050,-0.0050,6.900,2.0562e+07
0.0050,0.0050,11.500,5.4187e+06
-0.0050,-0.0050,6.700,2.0846e+07
0.0050,0.0050,11.300,5.7884e+06
-0.0150,0.0050,52.300,6.3060e+03
0.0050,0.0050,11.100,6.1828e+06
-0.0050,-0.0050,6.300,2.2198e+07
-0.0150,0.0050,52.100,2.5671e+02
0.0050,0.0050,10.900,6.9164e+06
-0.0050,-0.0050,6.100,2.3322e+07
0.0050,0.0050,10.700,7.6353e+06
-0.0050,-0.0050,5.900,2.3833e+07
0.0050,0.0050,10.500,8.3072e+06
-0.0050,-0.0050,5.700,2.4004e+07
0.0050,0.0050,10.300,9.0395e+06
-0.0050,-0.0050,5.500,2.4568e+07
0.0050,0.0050,10.100,9.9809e+06
-0.0050,-0.0050,5.300,2.4917e+07
0.0050,0.0050,9.900,1.0640e+07
-0.0050,-0.0050,5.100,2.4965e+07
0.0050,0.0050,9.700,1.1400e+07
-0.0050,-0.0050,4.900,2.5502e+07
0.0050,0.0050,9.500,1.2114e+07
-0.0150,0.0150,5.100,5.3456e+03
-0.0050,-0.0050,4.700,2.5608e+07
0.0050,0.0050,9.300,1.2459e+07
-0.0150,0.0150,4.900,3.7297e+03
-0.0050,-0.0050,4.500,2.5500e+07
0.0050,0.0050,9.100,1.3127e+07
-0.0150,0.0150,4.700,2.4107e+03
-0.0050,-0.0050,4.300,2.6243e+07
0.0050,0.0050,8.900,1.4004e+07
-0.0150,0.0150,4.500,3.1155e+03
-0.0050,-0.0050,4.100,2.6664e+07
0.0050,0.0050,8.700,1.4898e+07
0.0050,-0.0150,6.700,2.0452e+05
-0.0050,0.0050,7.100,1.9398e+07
-0.0150,0.0150,4.300,7.6356e+03
-0.0050,-0.0050,3.900,2.5785e+07
0.0150,-0.0150,8.100,2.2712e+03
0.0050,0.0050,8.500,1.5619e+07
-0.0050,-0.0050,3.700,2.5702e+07
0.0150,-0.0150,7.900,3.6339e+03
0.0050,0.0050,8.300,1.6586e+07
-0.0050,-0.0050,3.500,2.6039e+07
0.0150,-0.0150,7.700,9.4641e+03
0.0050,0.0050,8.100,1.7449e+07
-0.0050,-0.0050,3.300,2.5305e+07
0.0050,0.0050,7.900,1.7596e+07
-0.0050,0.1050,9.500,4.5754e+03
-0.0050,-0.0050,9.700,1.0665e+07
0.0050,0.0050,14.300,6.7142e+05
-0.0050,0.1050,9.300,4.0033e+03
-0.0050,-0.0050,9.500,1.1330e+07
0.0050,0.0050,14.100,8.0371e+05
-0.0050,0.1050,9.100,9.4806e+02
-0.0050,-0.0050,9.300,1.2119e+07
0.0050,0.0050,13.900,9.3729e+05
-0.0050,0.1050,8.900,6.8903e+02
-0.0050,-0.0050,9.100,1.3190e+07
0.0050,0.0050,13.700,1.0630e+06
-0.0050,0.0150,9.500,8.0693e+04
0.0050,-0.0050,9.100,1.3191e+07
-0.0150,0.0050,4.900,3.2666e+05
-0.0050,-0.0150,4.500,2.9635e+05
-0.0050,0.0150,9.300,1.3895e+05
0.0050,-0.0050,8.900,1.4067e+07
-0.0050,0.0150,9.100,1.2562e+05
0.0050,-0.0050,8.700,1.4638e+07
