# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
-0.0050,-0.0050,1.100,8.8261e+04
0.0050,-0.0050,0.900,2.6330e+06
-0.0050,-0.0050,0.900,2.7715e+06
-0.0050,-0.0050,0.700,2.0536e+07
0.0050,-0.0050,0.700,2.0183e+07
0.0050,0.0050,0.700,2.0369e+07
0.0050,0.0050,0.100,7.4661e+07
0.0050,0.0050,0.300,8.1713e+07
0.0050,-0.0050,1.100,8.3476e+04
-0.0050,0.0050,0.100,6.6079e+07
0.0050,0.0050,0.900,2.6253e+06
0.0050,-0.0050,0.100,6.5299e+07
0.0050,0.0050,1.100,6.6595e+04
0.0050,-0.0050,0.300,8.1152e+07
-0.0050,0.0050,0.900,2.6972e+06
-0.0050,-0.0050,0.100,6.6837e+07
-0.0050,0.0050,0.300,8.1478e+07
0.0050,0.0050,0.500,5.5784e+07
-0.0050,0.0050,1.100,5.9672e+04
-0.0050,-0.0050,0.300,8.1833e+07
0.0050,-0.0050,0.500,5.5758e+07
-0.0050,-0.0050,0.500,5.5543e+07
-0.0050,0.0050,0.500,5.5614e+07
-0.0050,0.0050,0.700,2.0591e+07
