# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
0.0750,0.0250,18.500,7.0496e+03
0.0050,-0.0050,3.900,5.5626e+02
0.0250,0.0550,52.900,7.5663e+03
0.0150,0.0250,26.500,4.0330e+01
-0.0050,0.0150,0.700,7.0511e+03
-0.0050,0.0150,0.100,4.9595e+03
0.0350,-0.0050,15.500,4.5925e+03
0.0350,-0.0050,15.300,5.1729e+03
-0.0050,-0.0150,1.700,8.0370e+03
0.0050,0.0050,4.100,2.0726e+03
0.0350,0.0150,10.100,4.0330e+01
0.0050,0.0050,3.900,7.4254e+03
0.0050,0.0050,3.700,4.5947e+03
-0.0050,0.0050,3.700,2.0762e+03
0.0050,-0.0050,3.700,1.7419e+04
0.0050,-0.0050,3.500,4.7413e+04
0.0050,-0.0050,3.300,1.7806e+05
-0.0050,0.0050,3.300,1.7032e+05
0.0050,-0.0050,3.100,6.4527e+05
0.0050,0.0050,3.500,5.9230e+04
0.0050,0.0050,3.300,1.7660e+05
0.0050,0.0050,3.100,5.8308e+05
-0.0050,0.0050,3.500,4.8023e+04
-0.0050,0.0050,3.100,5.5311e+05
-0.0050,-0.0050,3.900,4.0871e+03
0.0050,0.0050,1.500,3.8966e+07
-0.0050,0.0050,2.700,4.0122e+06
-0.0050,0.0050,1.500,3.9016e+07
-0.0050,-0.0050,1.500,4.0147e+07
0.0050,-0.0050,0.300,3.9810e+07
-0.0050,0.0050,2.300,1.2630e+07
-0.0050,-0.0050,3.500,3.5644e+04
0.0050,0.0050,1.100,4.9202e+07
-0.0050,-0.0050,1.300,4.5458e+07
0.0050,-0.0050,0.100,2.8504e+07
0.0150,0.0050,10.700,5.2142e+03
-0.0050,0.0050,2.100,1.9274e+07
-0.0050,-0.0050,3.300,2.1426e+05
0.0050,0.0050,0.900,5.1585e+07
0.0150,0.0050,10.500,2.3973e+03
-0.0050,0.0050,1.900,2.5879e+07
-0.0050,-0.0050,3.100,6.4189e+05
0.0050,0.0050,0.700,5.0906e+07
-0.0050,0.0050,1.700,3.2626e+07
-0.0050,-0.0050,2.900,1.8114e+06
0.0050,0.0050,0.500,4.7849e+07
-0.0050,-0.0050,0.700,5.1126e+07
-0.0050,0.0050,0.700,5.1204e+07
0.0050,-0.0050,2.500,8.0137e+06
-0.0050,0.0050,1.300,4.5602e+07
-0.0050,0.0050,0.100,2.8303e+07
0.0050,-0.0150,21.300,3.3190e+01
0.0050,-0.0050,1.900,2.5648e+07
-0.0050,0.0050,0.900,5.1364e+07
0.0050,-0.0050,2.700,4.0292e+06
0.0150,-0.0050,8.700,3.3250e+01
-0.0050,-0.0050,0.100,2.8119e+07
-0.0050,0.0050,1.100,4.9588e+07
0.0050,-0.0050,2.900,1.7150e+06
-0.0050,-0.0050,0.300,4.0348e+07
-0.0050,-0.0050,3.700,1.2245e+04
0.0050,0.0050,1.300,4.5727e+07
-0.0050,0.0050,2.500,7.5544e+06
0.0050,-0.0050,0.500,4.7437e+07
-0.0050,-0.0050,1.700,3.3141e+07
-0.0050,-0.0050,0.500,4.7480e+07
0.0150,-0.0250,41.700,4.7537e+03
-0.0050,0.0050,0.300,3.9487e+07
0.0050,-0.0050,2.100,1.8766e+07
0.0150,-0.0250,41.900,4.6800e+03
-0.0050,0.0050,0.500,4.7284e+07
0.0050,-0.0050,2.300,1.2603e+07
0.0050,0.0050,1.700,3.2673e+07
-0.0050,0.0050,2.900,1.6635e+06
0.0050,-0.0050,0.900,5.0784e+07
-0.0050,-0.0050,2.100,1.8734e+07
-0.0050,-0.0050,0.900,5.0723e+07
-0.0050,-0.0050,1.100,4.8465e+07
0.0050,-0.0050,0.700,5.0738e+07
-0.0050,-0.0050,1.900,2.6479e+07
0.0050,-0.0050,1.100,4.9559e+07
-0.0050,-0.0050,2.300,1.2319e+07
0.0050,0.0050,7.300,2.6110e+01
0.0050,-0.0050,1.300,4.5562e+07
0.0050,0.0050,0.100,3.8878e+07
-0.0050,-0.0050,2.500,7.3837e+06
0.0050,-0.0050,1.500,3.9347e+07
0.0050,0.0050,0.300,4.0860e+07
-0.0050,-0.0050,2.700,3.8703e+06
0.0050,-0.0050,1.700,3.3192e+07
0.0050,0.0050,1.900,2.5116e+07
0.0050,0.0050,2.100,1.8525e+07
0.0050,0.0050,2.300,1.2081e+07
0.0050,0.0050,2.500,7.3392e+06
0.0050,0.0050,2.700,3.7354e+06
0.0050,0.0050,2.900,1.6888e+06
