depth_um,-85.000000,-75.000000,-65.000000,-55.000000,-45.000000,-35.000000,-25.000000,-15.000000,-5.000000,5.000000,15.000000,25.000000,35.000000,45.000000,55.000000,65.000000,75.000000,85.000000
0.1,0.0,0.0,0.0,16311033.389458489,50973233.21310653,133289169.92092401,534434723.1036402,1937025814.252169,154051445646.57184,193629446690.5769,1999208466.0890517,445831933.5230077,88042790.02953722,11394425.882879077,12741781.031773644,0.0,0.0,0.0
0.3,0.0,0.0,0.0,18906489.894757196,69794912.40143856,234496889.46458104,648207625.8408365,2409311259.229547,159965266376.6646,163978646232.87512,2548857264.538931,458051576.25279707,85202517.55887079,19922823.08678209,5676547.63813986,0.0,0.0,0.0
0.5,0.0,0.0,0.0,8598048.326520724,80798620.7524053,227030228.78331026,652113028.7708086,2989701581.8580723,159022985564.33536,158320606485.62296,2944170526.10061,725729400.735166,106534427.73159412,67808384.70094198,16297080.538690455,0.0,0.0,0.0
0.7,0.0,0.0,0.0,18006757.282664064,45570123.7396126,211162820.62746018,856458335.6713787,3382414786.24474,150416485807.5524,150940579922.11023,2683518980.160947,659979118.0881197,126281180.92584662,30869588.72245225,4262445.06800363,0.0,0.0,0.0
0.9,0.0,0.0,0.0,9912557.710499195,86635399.91193263,209134377.80904827,835623750.352517,3129070197.410665,145766526631.33112,146036289275.6911,3039255206.7815504,850908532.7127831,139135791.4968039,32141711.60842189,4090674.1619269215,0.0,0.0,0.0
1.1,0.0,0.0,0.0,21674358.38305979,121290434.75815925,162422118.9580536,1020789694.8497963,3498005971.6994557,140287880986.7384,143322984579.33954,3290268877.618808,1056694490.310356,157100199.99186665,36502957.94402618,26269748.63871463,0.0,0.0,0.0
1.3,0.0,0.0,0.0,27406378.030604444,68091797.2683667,286508968.9829787,919131449.0679617,3459532117.018834,134960854560.67255,136598089725.00606,3611000041.3909435,904645146.8757019,223091263.59068,23975598.289190438,12187777.435467841,0.0,0.0,0.0
1.5,0.0,0.0,0.0,23022354.608881533,123540426.22052298,298550354.6166047,770847716.0827469,4296864224.251062,132274063938.68977,134416026472.16304,3697327912.9298677,810146863.0310938,128628880.05399409,90040385.73462953,20746757.779838078,0.0,0.0,0.0
1.7,0.0,0.0,0.0,23012889.29660376,80614820.22634211,274366029.22200596,966925808.0616285,4938850462.486471,127988762781.26385,129547305073.99869,3662260137.673759,1061446265.6258355,154770073.91360542,73530769.33937523,45228429.73742576,0.0,0.0,0.0
1.9,0.0,0.0,0.0,19784652.1537711,71368907.09929495,432726397.9006707,941932028.7704464,4580357039.422883,126947277426.23636,127075316326.96529,3754014084.3243327,854486760.1474483,222488734.24202746,28568952.182841297,27997224.695019342,0.0,0.0,0.0
2.1,0.0,0.0,0.0,23832600.424021855,74284223.2808489,239796069.05505684,853043733.6947742,4454478153.124045,123007927851.4227,125437434202.88104,4326370581.743072,988311945.8003097,174008717.0774567,27231891.97518909,27256177.47760696,0.0,0.0,0.0
2.3,0.0,0.0,0.0,30888217.663747944,127950432.11300042,173357835.4443318,1244495524.951197,4896861960.118197,117939757352.53392,118572955972.2244,4089938167.904111,1011592880.6732897,213074534.65055487,102814145.19194718,8191454.713058795,0.0,0.0,0.0
2.5,0.0,0.0,0.0,22154826.68477732,155788341.64953408,224255233.0279937,1027556865.182699,5136087734.680917,115395112495.1233,118548950356.45085,4440614034.944817,900510351.5370221,261033024.4217426,65791990.35772033,15156416.13320016,0.0,0.0,0.0
2.7,0.0,0.0,0.0,17379784.047882203,152475848.14326626,211245436.5881699,1017495992.4395761,4934999324.832866,111632034823.72105,115417243673.61154,4363635139.076588,1014593761.7694182,416586720.6028067,69726015.48697048,6732288.205982572,0.0,0.0,0.0
2.9,0.0,0.0,0.0,7179910.742784008,91730905.5916027,230556906.09094885,1172315617.8286119,4794771213.672962,109642405932.44446,114814037310.01347,4919857766.600212,1297893348.813305,256312209.3508054,111646186.59688856,10208584.409226343,0.0,0.0,0.0
3.1,0.0,0.0,0.0,6772038.746508469,118209984.70224527,166874699.90057728,1195094853.4404624,4856731826.630595,108723718410.29333,109577859328.29378,4741490631.467712,1183005424.7477052,367726627.7833147,70089347.72097002,7355339.558386391,0.0,0.0,0.0
3.3,0.0,0.0,0.0,13961147.057677133,83815264.79886113,184838165.63545296,1028041745.6020917,5049618411.403532,108297598196.99603,106932119991.92213,5414010496.405323,1403156370.1566713,359834028.04954416,63218443.59916819,3031351.105373498,0.0,0.0,0.0
3.5,0.0,0.0,0.0,4619826.599702637,121287229.37352335,215046502.36272296,1290047494.900648,5239932769.282177,105973213528.27382,103714200341.15552,4883827357.772332,1196884589.3795183,293686767.94294375,19843857.493516527,3275601.4146290077,0.0,0.0,0.0
3.7,0.0,0.0,0.0,4449251.113543081,68753780.84545407,169258676.4407216,1067274673.0749018,5012579022.913086,101339015115.17604,102187766348.60805,5113940412.3672285,1114022379.7089288,178488223.25092196,24204161.068933785,4197168.352653733,0.0,0.0,0.0
3.9,0.0,0.0,0.0,13689405.861367855,120448436.77991977,170108819.866977,1323637565.213362,5599471864.23481,99422150227.52348,100783303237.41135,5112403223.027074,1031284425.8309897,215034095.63866165,67265901.63412169,5139325.173163175,0.0,0.0,0.0
4.1,0.0,0.0,2830580.8959437725,13061678.41843637,69106320.3608325,178287415.33108473,1064243812.2048256,5172429254.370515,99396269574.86916,95627126339.03624,5578551110.634854,1281591026.5279748,349062163.28377163,55095697.24854007,3070645.3499688725,0.0,0.0,0.0
4.3,0.0,0.0,7050714.886753536,4651616.47320926,70635477.38419375,275736010.6153892,1409356828.4859471,5802288843.740985,95626731209.38666,93378955761.40813,5122094533.776881,1287742800.7211921,369372498.5178302,65316009.59449306,26049595.279839583,0.0,0.0,0.0
4.5,0.0,0.0,34907242.05146065,10878287.30672511,75598657.24401243,359373508.55338407,1538280264.5327766,5288567052.181671,92710460954.52344,94732794083.55687,5218274550.953519,1384081013.0572135,352604980.64581215,69072064.2266766,1954643.5509712575,0.0,0.0,0.0
4.7,0.0,0.0,9474174.223530643,16067612.709167564,76105371.98933683,315607940.9429678,1203388239.3849428,5505488704.556396,89911842645.75255,90641571499.17395,5979234371.93226,1441419989.3155859,350200678.19603556,41111346.97713977,1884539.9034637706,0.0,0.0,0.0
4.9,0.0,0.0,5685975.240010152,11819535.306414258,92355842.46438058,337322687.17243993,1348081451.3426535,5897959770.416626,90121583406.91388,88536776154.76207,6210339210.243909,1755370934.9538312,403959202.1057009,69955898.13097568,3207571.8395329854,0.0,0.0,0.0
